comparison,n,bias,mae,rmse,corr,unit,target_rmse,passes
saved_peak_stream_rebuild,2666,0.0,0.0,0.0,0.9999999999999999,deg,1e-09,True
image_alpha_entry_vs_saved,2666,0.4377344336084021,0.8375843960990248,2.0101486697303272,0.933033031017021,deg,1.0,False
image_alpha_peaks_vs_saved,2666,0.4377344336084021,0.8375843960990248,2.0101486697303272,0.933033031017021,deg,1.0,False
image_top_peak_alpha_vs_saved_top,2666,-0.056264066016504126,0.5746436609152288,2.8973433779347615,0.9037306974535,deg,,True
image_top_peak_weight_vs_saved_top,2666,2.72993248312078,3.072018004501125,4.017030511899727,0.9937797089308141,hough weight,,True
