Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
37,3.3636363636363638,75.91199876454833,16.94314536182078,16.961866947854247,1197.8224657127942,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
38,3.4545454545454546,75.91282038964687,16.94532783134753,16.967762576593202,1197.8354302113903,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
39,3.5454545454545454,75.94292748997643,16.938292275463045,16.96287482560308,1198.310492938484,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
40,3.6363636363636362,75.9859107884343,16.929642775928016,16.953633909937423,1198.9887303894957,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
41,3.727272727272727,75.97034533735247,16.935915967738406,16.95600103422285,1198.7431216939246,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
42,3.8181818181818183,75.96354628115522,16.934729376850225,16.95387553711288,1198.6358387559007,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
43,3.909090909090909,75.94009916904281,16.935465670906908,16.95240538659101,1198.265864600281,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
44,4.0,75.92045950277497,16.937704774643244,16.954247543507705,1197.9559684856013,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
45,4.090909090909091,75.91279169551449,16.940975607346836,16.958572015991678,1197.8349774440155,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
46,4.181818181818182,76.00752367041233,16.934396290174064,16.948926000241045,1199.3297620577882,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
47,4.2727272727272725,75.96249973772686,16.94277555770856,16.955674503723003,1198.619325250128,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
48,4.363636363636363,76.02962377618076,16.92228908976013,16.934517331149635,1199.678481675436,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
49,4.454545454545454,75.96244977476167,16.946720159192996,16.956137646001054,1198.6185368798685,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
50,4.545454545454546,76.01636609916844,16.93948109871355,16.950713903045823,1199.4692875608432,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
51,4.636363636363637,75.99313588116482,16.947992925737065,16.956967101266827,1199.1027357974724,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
52,4.7272727272727275,76.03751391835978,16.93824705594458,16.945573250401623,1199.802980960312,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
53,4.818181818181818,76.00788032587653,16.947895412080417,16.95257862388692,1199.3353897574204,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
54,4.909090909090909,76.05456672616583,16.94248193039092,16.947152110668583,1200.072058795516,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
55,5.0,76.05500240918767,16.94724268841462,16.94927736833276,1200.0789334783062,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
56,5.090909090909091,76.045633103839,16.94843534975677,16.950243769148443,1199.9310943406547,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
57,5.181818181818182,76.05896148431106,16.949676886732107,16.95369690893176,1200.1414040916932,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
58,5.2727272727272725,76.08189463856738,16.944646026217686,16.94642946828074,1200.5032684586567,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
59,5.363636363636363,76.10103788594859,16.943954130730994,16.949188240500348,1200.8053315337054,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
60,5.454545454545454,76.1271755624084,16.935716693634163,16.937142453658993,1201.2177603535843,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
61,5.545454545454546,76.08715625804142,16.94663091710591,16.95332451441334,1200.5862920401012,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
62,5.636363636363637,76.10329723344395,16.939021920014444,16.947736144196057,1200.8409819872813,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
63,5.7272727272727275,76.09066858035283,16.93914984090928,16.946242957552272,1200.641713299453,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
64,5.818181818181818,76.10262375108137,16.929960973517908,16.937556028310013,1200.8303550466487,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
65,5.909090909090909,76.02752481052839,16.93745247091391,16.936506296926552,1199.6453619018287,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
66,6.0,76.02475559804905,16.933144591628967,16.933402378954753,1199.6016662414052,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
67,6.090909090909091,75.96606126774651,16.94141187874982,16.936329413083627,1198.6755229624696,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
68,6.181818181818182,75.96351390356658,16.942951694407412,16.937443624567777,1198.6353278669283,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
69,6.2727272727272725,75.90671798851241,16.951652121110726,16.94318417703863,1197.739139858184,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
70,6.363636363636363,75.91807357881706,16.949445625770466,16.940534711967473,1197.9183207702888,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
71,6.454545454545454,75.87012291681589,16.95922527262212,16.94974915567505,1197.161702829442,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
72,6.545454545454546,75.92616985597375,16.949141982157045,16.941862629179298,1198.0460726780868,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
73,6.636363636363637,75.88843723705442,16.968953240646925,16.96208597541809,1197.450686186263,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
74,6.7272727272727275,75.93453219571872,16.968727799925517,16.96406183794889,1198.1780228121297,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
75,6.818181818181818,75.95480943583377,16.96692939028187,16.967656563558165,1198.497979263649,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
76,6.909090909090909,75.96209432940302,16.96616275625226,16.962658140399753,1198.6129282746037,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
77,7.0,75.92732832549365,16.976123792245147,16.971772367004178,1198.0643522760338,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
78,7.090909090909091,75.98886370847757,16.970934395960224,16.971792683445642,1199.0353247886007,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
79,7.181818181818182,75.98167419492599,16.986470677990837,16.980908097244566,1198.9218807877867,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
80,7.2727272727272725,75.97400924622703,16.989783170025078,16.987842706596552,1198.8009348517085,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
81,7.363636363636363,75.9445073804603,16.994756071825407,16.992672157901268,1198.3354221768882,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
82,7.454545454545454,75.9475528933392,16.999623603854076,16.997999129340258,1198.3834776069302,16.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
83,7.545454545454546,75.99782068949975,16.997652284189613,16.99927572643861,1199.1766578224813,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
84,7.636363636363637,75.98122812933497,17.01897873408558,17.00843556885104,1198.9148422774747,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
85,7.7272727272727275,76.04106187164123,17.018214901338567,17.020909196049615,1199.858964444043,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
86,7.818181818181818,76.09076738177487,17.019079527474602,17.022944222587086,1200.6432722962504,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
87,7.909090909090909,76.14735832536303,17.01506909923064,17.02110555186468,1201.5362260412312,16.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
88,8.0,76.16101459691991,17.011148543403955,17.01578077775372,1201.7517096160932,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
89,8.090909090909092,76.1848609228865,17.011998934605145,17.015193038110056,1202.1279830041262,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
90,8.181818181818182,76.18373175086592,17.008597055359047,17.012236968499224,1202.1101656941366,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
91,8.272727272727273,76.19599690359016,17.004810717052997,17.007490297741867,1202.3036986759787,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
92,8.363636363636363,76.18868949656199,17.005689047194434,17.00707875351179,1202.188394423069,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
93,8.454545454545455,76.21594533239032,16.998232239052196,17.000078542278914,1202.6184667832792,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
94,8.545454545454545,76.18477028297359,17.00030519500431,17.003200752666743,1202.1265527885378,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
95,8.636363636363637,76.22847036550222,16.982533903556316,16.984041935585935,1202.8161004418496,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
96,8.727272727272727,76.09926010580341,17.002504964986894,17.002549434657965,1200.7772797759906,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
97,8.818181818181818,76.14323230294865,16.99317758766926,16.999748401399614,1201.4711211510635,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
98,8.909090909090908,76.12515760277999,16.992573359978557,16.995576113110445,1201.1859187815382,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
99,9.0,76.16178921831809,16.9785160208406,16.981083105779277,1201.7639324389443,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
100,9.090909090909092,76.06038995351635,16.988881292731207,16.980237636625276,1200.1639440397057,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
101,9.181818181818182,76.05632171841499,16.982885052664187,16.974253357695176,1200.0997509809072,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
102,9.272727272727273,76.01062671850872,16.98111128360472,16.96862189094685,1199.3787253413605,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
103,9.363636363636363,75.9926874996142,16.977889674280362,16.96511736069857,1199.0956607434193,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
104,9.454545454545455,75.94761268640802,16.976994721647714,16.965362612820314,1198.384421087306,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
105,9.545454545454545,76.0027049460856,16.96733532231002,16.957598293926026,1199.2537269599306,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
106,9.636363636363637,75.99952053765297,16.96754927488641,16.95630072283035,1199.2034798840705,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
107,9.727272727272727,76.03660341900593,16.959259240569907,16.95192885132903,1199.7886141066024,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
108,9.818181818181818,76.04387788681557,16.957525870016582,16.948045034691006,1199.9033986085296,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
109,9.909090909090908,76.014621548116,16.963347154103303,16.961360634226764,1199.4417601280632,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
110,10.0,76.06062535414866,16.957100648616944,16.954910800914746,1200.167658448105,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
111,10.090909090909092,76.0502276172628,16.951389339034336,16.95005329653077,1200.0035915938904,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
112,10.181818181818182,76.00036638603372,16.949960096402577,16.945715775041663,1199.2168266040824,15.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
113,10.272727272727273,75.96583516383429,16.948585097660498,16.94444359918839,1198.6719552478783,15.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
114,10.363636363636363,75.93414646102838,16.947055615768335,16.940709736181077,1198.1719362686922,15.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
115,10.454545454545455,75.90521479761496,16.948288201841592,16.941091844736548,1197.715420869664,15.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
116,10.545454545454545,75.87524978383908,16.94780614534153,16.94142451195998,1197.2426001394726,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
117,10.636363636363637,75.91649245963775,16.942316973092915,16.938587029775874,1197.8933721441854,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
118,10.727272727272727,75.90132587687017,16.943459591018694,16.936970893162766,1197.6540572287206,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
119,10.818181818181818,75.87500884569886,16.94223148103103,16.940966035770032,1197.2387983542226,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
120,10.909090909090908,75.90807847815553,16.934430212629678,16.928670335456673,1197.760607150383,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
121,11.0,75.82091065597456,16.951005068715574,16.946819581899234,1196.3851780035434,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
122,11.090909090909092,75.83893453245375,16.94707818422532,16.945409647468466,1196.669578421361,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
123,11.181818181818182,75.81821476153944,16.952389029304243,16.946807364419783,1196.3426392353363,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
124,11.272727272727273,75.79979330791373,16.952969844501183,16.94492896509854,1196.0519654108675,15.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
125,11.363636363636363,75.79353496324707,16.958748189576113,16.951523051644614,1195.9532144102102,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
126,11.454545454545455,75.86193890302381,16.95381590307477,16.948531472594397,1197.032566517141,15.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
127,11.545454545454545,75.88177401473638,16.963802857352647,16.952851447011227,1197.3455465836114,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
128,11.636363636363637,75.89556024158938,16.97427352942151,16.959448007472957,1197.563080735138,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
129,11.727272727272727,75.8845884394913,16.977994338513952,16.96578674131584,1197.3899556527226,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
130,11.818181818181818,75.86785920662258,16.981448754954187,16.969753778352327,1197.125983536451,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
131,11.909090909090908,75.84310641194695,16.98767554754218,16.979840223294218,1196.7354068946263,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
132,12.0,75.86788585782054,16.982561033960963,16.976617534791927,1197.1264040681742,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
133,12.090909090909092,75.7785530240307,17.003219946345837,16.98973998351576,1195.7168130024568,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
134,12.181818181818182,75.77978580552279,17.014549108531668,17.00689105290641,1195.736265175902,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
135,12.272727272727273,75.89454865975473,17.018711843252674,17.0060370597231,1197.5471188915933,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
136,12.363636363636363,75.98025892707102,17.014593277651585,17.00065223805848,1198.8995491451049,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
137,12.454545454545455,76.00785959554987,17.02032981634744,17.008350772812236,1199.3350626516744,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
138,12.545454545454545,76.07237437648611,17.010247613534233,16.997215291445457,1200.3530473607275,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
139,12.636363636363637,76.09477826337074,17.003768724203184,16.9932075000859,1200.706560368769,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
140,12.727272727272727,76.13659161472319,17.00088456332304,16.991519395208087,1201.3663371159478,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
141,12.818181818181818,76.13260507628719,16.997828097674414,16.990197967262105,1201.3034331564054,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
142,12.909090909090908,76.1746989869619,16.99158356489241,16.985537498589537,1201.9676368751384,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
143,13.0,76.1578010196262,16.99285902350408,16.986683930837984,1201.7010022820702,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
144,13.090909090909092,76.21016870216187,16.9784528383785,16.974729294874493,1202.5273167993982,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
145,13.181818181818182,76.13893279304206,16.988889711747078,16.9805219342808,1201.4032787856736,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
146,13.272727272727273,76.1291506434776,16.987726482141113,16.98354026512851,1201.2489253408694,15.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
147,13.363636363636363,76.14310287822573,16.986092725948055,16.981712456111666,1201.4690789463627,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
148,13.454545454545455,76.17176352126951,16.974462868532015,16.9718479237888,1201.9213178898542,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
149,13.545454545454545,76.11510195731725,16.97593794693981,16.972834927600786,1201.0272498196016,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
150,13.636363636363637,76.11352630474308,16.970439603557622,16.96917854978767,1201.0023874515673,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
151,13.727272727272727,76.1048886459148,16.967256933403604,16.966311886621497,1200.8660930321862,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
152,13.818181818181818,76.1079010371457,16.964065134104914,16.964190022980944,1200.9136258326737,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
153,13.909090909090908,76.08067224523374,16.96166972508739,16.963645312414457,1200.483980200927,15.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
154,14.0,76.12138143622207,16.955474954707597,16.958832494849872,1201.126334299362,16.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
155,14.090909090909092,76.1225643381018,16.950847643978218,16.95609007126319,1201.14499941778,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
156,14.181818181818182,76.0978081169459,16.949295961909165,16.95802448049963,1200.7543687092054,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
157,14.272727272727273,76.06710720121636,16.944097211035142,16.94671860817911,1200.2699361138675,15.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
158,14.363636363636363,76.01546380839409,16.953068669364793,16.95793844651891,1199.4550502310703,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
159,14.454545454545455,76.04738337746082,16.94444420270758,16.951920293310963,1199.9587120703877,15.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
160,14.545454545454545,76.02958957284982,16.94716386798444,16.952241139806148,1199.6779419779064,17.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
161,14.636363636363637,76.06275866415079,16.943902575333222,16.94634804503275,1200.2013201443913,15.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
162,14.727272727272727,76.03247695030514,16.950252717312264,16.951766429279616,1199.72350217444,17.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
163,14.818181818181818,76.05645799943828,16.945443716018104,16.948980746831552,1200.1019013718071,15.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
164,14.909090909090908,76.01376391006407,16.95052336228419,16.9512522301616,1199.428227377737,15.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
