comparison,n,bias,mae,rmse,corr
ported dohough alpha on current mask,54,2.1944444444444446,2.435185185185185,2.98064745638582,0.9205397920320818
current Python alpha on same sampled frames,54,-13.3550476498074,13.437568876478407,21.655578467295623,-0.16216610411425308
ported alpha-only phi,54,2.1944444444444446,2.435185185185185,2.98064745638582,0.9142853707869208
ported alpha-only faslen,54,-50.559168455149205,54.477591873196445,71.3854292150144,0.9155051689712007
