comparison,n,bias,mae,rmse,corr
MATLAB thickness / sin(MATLAB saved phi),2666,1.4775877445813935e-14,1.4775877445813935e-14,4.250978808458335e-14,0.9999999999999999
MATLAB thickness / sin(MATLAB alpha - betha),2666,1.4775877445813935e-14,1.4775877445813935e-14,4.250978808458335e-14,0.9999999999999999
notebook23 saved formula vs recomputed P/P/P,2666,-3.8052476874634485e-06,2.3478563908722633e-05,2.9328809765080904e-05,0.9999999999999539
