comparison,n,bias,mae,rmse,corr
final_FL_mm,2666,17.121358532976533,17.12172683300808,19.06371350840434,0.5710090494989458
final_PEN_deg,2666,-8.563590284946516,8.563703808253408,10.13756856124676,-0.6640260050805867
final_ANG_deg,2666,-8.975239053145943,8.975417914805965,10.689861554721636,-0.767142157672986
timtrack_alpha_deg,2666,2.3193923480870215,2.5268192048012,3.5372442344561885,0.8660614541395094
timtrack_phi_vs_python_pen_deg,2666,1.907597025940575,2.344573407236451,3.3396645335481865,0.8463397417229618
timtrack_formula_faslen_px,2666,-59.888180020343945,62.43980088341642,87.69061490608232,0.8432243834880936
timtrack_selected_segment_length_px_debug,2666,146.03838551279804,155.1435034202506,183.6606772952194,0.37358795494908487
timtrack_gamma_deep_apo_deg,2666,-0.41790836154625455,0.5972188477950847,0.8821625774055514,0.20689178063805633
