comparison,unit,domain,n,bias,mae,rmse,corr
raw ANG deg,deg,all_frames,2666,2.351214999632502,2.382488748723375,2.612432176691378,0.9689375548718977
delta ANG deg,deg,all_frames,2666,-0.2440710053434879,0.9120895420529621,1.1645430687462655,0.9689375548718977
raw PEN deg,deg,all_frames,2666,1.642798920811535,1.7543203331370991,2.040972747341009,0.9603013024171455
delta PEN deg,deg,all_frames,2666,-0.7229363683302108,1.103758581624777,1.4104674593281608,0.9603013024171455
raw FL mm,mm,all_frames,2666,-4.993746401838423,5.115187575707101,5.730871425019563,0.9547722730996359
delta FL mm,mm,all_frames,2666,-0.16505768794915837,2.253665750147737,2.8164921808133423,0.9547722730996355
