signal,unit,matlab_baseline,python_baseline,python_minus_matlab_baseline
ANG_deg,deg,21.40471399502401,24.0,2.595286004975989
PEN_deg,deg,22.31557727189341,24.68130847811699,2.365731206223579
FL_mm,mm,63.15041543755683,58.32172353982553,-4.828691897731304
