comparison,unit,n,bias,mae,rmse,corr
raw ANG deg,deg,2666,2.351214999632502,2.382488748723375,2.612432176691378,0.9689375548718977
delta ANG deg,deg,2666,-0.2440710053434879,0.9120895420529621,1.1645430687462655,0.9689375548718977
raw PEN deg,deg,2666,1.642798964160304,1.7543204100134808,2.0409727032706466,0.9603013125813687
delta PEN deg,deg,2666,-0.7229322420632747,1.1037568359776375,1.4104652301508023,0.9603013125813685
raw FL mm,mm,2666,-4.993746616193591,5.115187721397733,5.730871346684276,0.9547722902221335
delta FL mm,mm,2666,-0.1650547184622869,2.2536652537455266,2.8164914673381447,0.9547722902221335
