row,frame,matlab_alpha,python_alpha,alpha_error_python_minus_matlab,abs_alpha_error,selected_line_alpha,py_first_peak_alpha,py_first_peak_weight,py_total_peak_weight,py_weighted_peak_spread,py_nearest_peak_to_matlab,py_nearest_peak_distance_to_matlab,py_nearest_peak_index,matlab_first_peak_alpha,matlab_first_peak_weight,matlab_total_peak_weight,matlab_weighted_peak_spread,matlab_nearest_peak_to_python,matlab_nearest_peak_distance_to_python,matlab_nearest_peak_index,mask_density,n_fascicle_candidates,category
25,25,19.0,21.0,2.0,2.0,18.434947967529297,19.0,283.0,2165.0,4.20554272517321,19.0,0.0,0,19.0,353.0,2904.0,4.221935261707989,21.0,0.0,1,0.08458035439252853,93.0,"peak exists, weighted median differs"
26,26,19.0,21.0,2.0,2.0,18.824708938598633,19.0,282.0,2213.0,4.189787618617261,19.0,0.0,0,19.0,350.0,2896.0,3.712189226519337,21.0,0.0,1,0.08642508834600449,98.0,"peak exists, weighted median differs"
27,27,19.0,21.0,2.0,2.0,18.970407485961914,19.0,282.0,2258.0,4.761736049601417,19.0,0.0,0,19.0,358.0,2916.0,4.325960219478738,21.0,0.0,1,0.08797956258058548,105.0,"peak exists, weighted median differs"
28,28,19.0,21.0,2.0,2.0,18.85315704345703,19.0,284.0,2259.0,4.872509960159363,19.0,0.0,0,19.0,357.0,2917.0,4.2538567020911895,21.0,0.0,1,0.0885600745677948,108.0,"peak exists, weighted median differs"
29,29,19.0,21.0,2.0,2.0,19.536653518676758,19.0,282.0,2252.0,4.768206039076377,19.0,0.0,0,19.0,354.0,2909.0,4.152629769680303,21.0,0.0,1,0.08888258039951324,125.0,"peak exists, weighted median differs"
30,30,19.0,21.0,2.0,2.0,18.434947967529297,19.0,280.0,2230.0,4.783856502242153,19.0,0.0,0,19.0,352.0,2906.0,4.154335856847901,21.0,0.0,1,0.08810856938362122,107.0,"peak exists, weighted median differs"
31,31,19.0,23.0,4.0,4.0,18.85315704345703,19.0,276.0,2236.0,3.5299642218246867,19.0,0.0,0,19.0,353.0,2914.0,4.168840082361016,21.0,2.0,1,0.08808276802301407,106.0,"peak exists, weighted median differs"
32,32,19.0,24.0,5.0,5.0,19.093490600585938,19.0,276.0,2238.0,4.555406613047364,19.0,0.0,0,19.0,355.0,2921.0,4.163300239643958,25.5,1.5,8,0.08790861815214157,116.0,"peak exists, weighted median differs"
33,33,19.0,21.0,2.0,2.0,18.778032302856445,19.0,272.0,2255.0,4.218625277161863,19.0,0.0,0,19.0,359.0,2924.0,4.187927496580027,21.0,0.0,1,0.0875474065542221,111.0,"peak exists, weighted median differs"
34,34,19.0,21.0,2.0,2.0,18.799884796142578,19.0,272.0,2237.0,4.227536879749665,19.0,0.0,0,19.0,357.0,2925.0,4.142564102564102,21.0,0.0,1,0.08662503957748413,101.0,"peak exists, weighted median differs"
