comparison,n,bias,mae,rmse,corr
alpha: Python vs MATLAB,2666,2.3193923480870215,2.5268192048012,3.5372442344561885,0.8660614541395094
betha: Python vs MATLAB,2666,0.4117953654952158,0.48126850937477095,0.6185667333410894,0.374295258950984
gamma: Python vs MATLAB,2666,-0.4179082128537586,0.597218612086808,0.8821621516449573,0.2068919576343499
phi: Python alpha - MATLAB betha,2666,2.3193923480870215,2.5268192048012,3.5372442344561885,0.8548324308725396
phi: MATLAB alpha - Python betha,2666,-0.4117953654952159,0.481268509374771,0.6185667333410895,0.9959837832373992
phi: Python alpha - Python betha,2666,1.9075969825918058,2.344573479790881,3.3396646741218445,0.846339717482544
thickness: Python vs MATLAB,2666,-6.851033528310066,7.4920826791934205,10.768290069468645,0.8367494124511288
