comparison,n,bias,mae,rmse,corr,alpha_src,betha_src,thickness_src,phi_mean_deg,faslen_mean_px
"alpha=M, betha=M, thickness=M",2666,1.4775877445813935e-14,1.4775877445813935e-14,4.250978808458335e-14,0.9999999999999999,M,M,M,26.694067767320647,616.5837632456745
"alpha=M, betha=P, thickness=M",2666,9.01707354826782,10.547794665002966,14.233956821098637,0.9958676502019553,M,P,M,26.28227240182543,625.6008367939423
"alpha=M, betha=P, thickness=P",2666,-5.184682545021628,13.373245079529408,18.304619060629282,0.993645000566097,M,P,P,26.28227240182543,611.3990807006529
"alpha=M, betha=M, thickness=P",2666,-13.888907433582474,15.580335862666274,22.120422685215424,0.9931781836750604,M,M,P,26.694067767320647,602.694855812092
"alpha=P, betha=P, thickness=M",2666,-46.60734181381649,53.782158781109985,81.49135540943558,0.8337988406156032,P,P,M,28.601664749912455,569.9764214318581
"alpha=P, betha=M, thickness=M",2666,-54.01096707375374,57.03795243721985,84.7015573912966,0.8452291686165254,P,M,M,29.013460115407668,562.5727961719208
"alpha=P, betha=P, thickness=P",2666,-59.888181449504756,62.439802777254975,87.69061832835436,0.8432243665596184,P,P,P,28.601664749912455,556.6955817961698
"alpha=P, betha=M, thickness=P",2666,-67.02661935702949,68.17836856852512,92.07980209130199,0.8485146119128543,P,M,P,29.013460115407668,549.557143888645
