stage,frames,mean_dice,worst_dice,mean_diff_fraction,worst_diff_fraction,matlab_density,python_density
fas_float_exact,15,0.9945758038712214,0.9917727466316936,0.002191182845563699,0.0030672527295272853,0.20765006939333755,0.2064461873989764
apo_debug_double255_exact,15,0.9649960826165987,0.9489531530127056,0.0595504051025106,0.08252598469650076,0.8919476844804237,0.8323972793779131
apo_source_uint8_exact,15,0.49125932133234534,0.4841019171416342,0.6015537050665537,0.6355866845442723,0.8919476844804237,0.2903939794138699
