mode,substage,mean_dice,worst_dice,mean_diff_fraction
debug_double255_emulation,Emask,0.9760989278043409,0.9553141108124776,0.016138235560977085
debug_double255_emulation,apo_deep,0.9754606420117616,0.9697381842910575,0.005802996851256305
debug_double255_emulation,apo_super,0.9654204111458812,0.9614531750864574,0.007378880902214202
debug_double255_emulation,apo_thres,0.9649960826165987,0.9489531530127056,0.0595504051025106
debug_double255_emulation,fas_thres,0.9879783606968712,0.9840870682079362,0.0048906340837223065
debug_double255_emulation,fas_thres_raw,0.9879783606968712,0.9840870682079362,0.0048906340837223065
debug_double255_emulation,fascicle_masked,0.9704969619524161,0.9507310623736195,0.003755809381710403
source_uint8_exact,Emask,0.9350187778595488,0.9061591993399577,0.045656783576798095
source_uint8_exact,apo_deep,0.5122257046395952,0.46781323805486585,0.07952006021930311
source_uint8_exact,apo_super,0.4884696755271339,0.48019033826419777,0.07469411484009288
source_uint8_exact,apo_thres,0.49125932133234534,0.4841019171416342,0.6015537050665537
source_uint8_exact,fas_thres,0.9879783606968712,0.9840870682079362,0.0048906340837223065
source_uint8_exact,fas_thres_raw,0.9879783606968712,0.9840870682079362,0.0048906340837223065
source_uint8_exact,fascicle_masked,0.9426823556907382,0.9162869948512797,0.007593277751454236
