variable,key,unit,n,matlab_mean,python_mean,bias_python_minus_matlab,bias_95ci_low_framewise,bias_95ci_high_framewise,bias_95ci_low_block_bootstrap,bias_95ci_high_block_bootstrap,mae,rmse,sd_diff,loa95_low,loa95_high,max_abs_diff,pearson_r,lins_ccc,equivalence_margin,tost_pvalue_framewise,equivalent_by_framewise_tost,equivalent_by_block_bootstrap_ci
L / fascicle length,fas_length_mm,mm,2666,55.21521649079192,53.1204024263045,-2.0948140644874202,-2.169165431080959,-2.0204626978938816,-2.5775865747057343,-1.7670505583744882,2.4127482644670337,2.8670338416244565,1.9578240081155767,-5.93214912039395,1.7425209914191098,6.282391408096636,0.9782908708806607,0.9545664501743829,5.0,0.0,True,True
phi / fascicle angle,fas_ang_deg,deg,2666,25.526129336451522,26.718270424087986,1.1921410876364664,1.151649935022463,1.23263224025047,0.9943117564617604,1.438131882667109,1.3211708846781467,1.5992462684182553,1.0662151125929296,-0.8976405330456756,3.2819227083186084,4.69778531908856,0.9801716577177724,0.9467899300177918,5.0,0.0,True,True
PEN / pennation angle,fas_pen_deg,deg,2666,26.95886582910092,28.068302903622964,1.1094370745220472,1.0697233288017,1.1491508202423943,0.9250250859964518,1.342328520423107,1.2610887163630429,1.5244742585482798,1.0457443942967144,-0.9402219382995132,3.159096087343608,4.450124136393747,0.9775796506062322,0.945171523572112,5.0,0.0,True,True
