matlab_row,python_frame,time_s,python_time_s,matlab_fas_length_mm,python_fas_length_mm,matlab_fas_ang_deg,python_fas_ang_deg,matlab_fas_pen_deg,python_fas_pen_deg,delta_fas_length_mm,delta_fas_ang_deg,delta_fas_pen_deg
0,1,0.029993091648583443,0.02999310158663507,72.30705044734124,75.82804581326762,18.520488637203375,17.50000606513882,20.387454154337288,19.32908541649232,3.5209953659263817,-1.0204825720645552,-1.0583687378449689
1,2,0.05998618329716689,0.05998620317327014,72.3041431985567,75.82758288889309,18.520433447527072,17.499418580712188,20.388171753751934,19.329325633141963,3.5234396903363887,-1.021014866814884,-1.0588461206099709
2,3,0.08997927494575034,0.08997930475990522,72.30361344229226,75.83520607298924,18.519919797703597,17.495753119262247,20.388370525815716,19.327614790614547,3.531592630696977,-1.0241666784413503,-1.0607557352011696
3,4,0.11997236659433377,0.11997240634654029,72.30634400456518,75.84501763969979,18.51758253797967,17.492056039533793,20.387862677467417,19.325188585935024,3.5386736351346144,-1.0255264984458776,-1.0626740915323936
4,5,0.1499654582429172,0.14996550793317537,72.31269435103422,75.85979666921156,18.514816747320342,17.486790559763648,20.386083588973428,19.3209507161622,3.5471023181773376,-1.0280261875566943,-1.0651328728112262
5,6,0.17995854989150065,0.17995860951981044,72.32170149472275,75.87440062136822,18.511249455710093,17.481696004531358,20.38317870909861,19.316806130733227,3.5526991266454786,-1.0295534511787352,-1.0663725783653817
6,7,0.2099516415400841,0.2099517111064455,72.3316822289853,75.867228339809,18.507505032136702,17.476325142469108,20.379934502384987,19.316873399334355,3.5355461108237023,-1.0311798896675946,-1.0630611030506323
7,8,0.23994473318866755,0.23994481269308057,72.31229981154782,75.86139002706048,18.50318897195092,17.47238024686203,20.3854945035856,19.317031176421096,3.5490902155126633,-1.0308087250888889,-1.0684633271645048
8,9,0.269937824837251,0.26993791427971564,72.29563333136117,75.86300601601016,18.499978791062166,17.47105482195957,20.390273936583608,19.315562333159562,3.567372684648987,-1.0289239691025962,-1.0747116034240456
9,10,0.2999309164858344,0.29993101586635074,72.28822717813655,75.86676507994511,18.4992046034117,17.46952720247242,20.392666249831723,19.314027933290475,3.5785379018085592,-1.0296774009392813,-1.078638316541248
10,11,0.32992400813441786,0.3299241174529858,72.26940828709601,75.87192790062817,18.49794396912492,17.467842304551993,20.398459527640153,19.312776954714565,3.602519613532152,-1.0301016645729248,-1.0856825729255881
11,12,0.3599170997830013,0.3599172190396209,72.25316654788656,75.88051832598855,18.497087625454768,17.46637534631904,20.403895450636742,19.310780746490224,3.627351778101982,-1.0307122791357273,-1.0931147041465188
12,13,0.3899101914315848,0.38991032062625597,72.24426328006865,75.88891477074311,18.495858377753443,17.464912816006773,20.407161573761726,19.308689458347374,3.6446514906744625,-1.0309455617466696,-1.0984721154143529
13,14,0.4199032830801682,0.419903422212891,72.23671685452085,75.89286116991798,18.494969592929685,17.46426947045481,20.40989667705779,19.307700265391333,3.6561443153971283,-1.030700122474876,-1.1021964116664584
14,15,0.44989637472875166,0.4498965237995261,72.22922317935888,75.8985888635823,18.494493820724575,17.46340597042456,20.41261209370705,19.30634550534583,3.669365684223422,-1.0310878503000147,-1.106266588361219
15,16,0.4798894663773351,0.47988962538616114,72.22403370473043,75.90318135742778,18.493861350382964,17.463093185508086,20.414651396817355,19.305326311937876,3.6791476526973526,-1.0307681648748783,-1.1093250848794796
16,17,0.5098825580259185,0.5098827269727962,72.21972839350939,75.90426316035503,18.493498044315924,17.460462855344673,20.416383483003777,19.304488422669493,3.684534766845644,-1.033035188971251,-1.1118950603342839
17,18,0.539875649674502,0.5398758285594313,72.22073263822699,75.90619482456408,18.490869149449782,17.45871341942498,20.41633326313116,19.303570579159015,3.685462186337091,-1.032155730024801,-1.1127626839721465
18,19,0.5698687413230854,0.5698689301460664,72.21411490873213,75.91090148208876,18.48964939200422,17.45529983315285,20.417980599312344,19.30186957394332,3.6967865733566327,-1.0343495588513711,-1.1161110253690225
