frame,candidate_source,alpha_deg,segment_angle_deg,x_sup,y_sup,x_deep,y_deep,x_mid,y_mid,peak_weight,peak_weight_norm,score,raw_mask_support,mask_support_score,inside_muscle_score,visible_fraction,hough_score,length_score,phi_score,pennation_score,boundary_score,length_mm,phi_deg,pennation_deep_deg,outside_px,alpha_bin,xmid_bin,length_bin,cluster_id
0,grid_scan,-14.6,-14.599999999999994,-181.38331190675473,11.321981267340895,981.3833103747207,314.2,399.999999233983,162.76099063367045,,,0.7095509954651359,0.18950437317784258,0.3935860058309038,1.0,0.686,0.7793103448275862,0.9998259701139901,1.0,1.0,0.4696517578704275,76.14925737490609,-14.1,-14.6,181.38331190675473,-14.5,400.0,75.0,a-14.50_x400_l75
2,grid_scan,-14.4,-14.400000000000006,-188.1788515251271,10.862677491524487,988.1788522369033,312.9,400.00000035588806,161.88133874576224,,,0.7066701406146773,0.17699115044247787,0.40117994100294985,1.0,0.678,0.7508650519031141,0.9926789100393,1.0,1.0,0.45654018653249107,76.9698178409876,-13.9,-14.4,188.17885223690325,-14.5,400.0,75.0,a-14.50_x400_l75
1,hough_peak,-14.5,-14.5,-184.85645745011067,11.69167158536596,984.8564573466825,314.2,399.9999999482859,162.94583579268297,227.0,0.7827586206896552,0.7054220259780745,0.18181818181818182,0.3841642228739003,1.0,0.682,0.7827586206896552,0.9974696044874332,1.0,1.0,0.4629041622162113,76.56947441022038,-14.0,-14.5,184.85645745011067,-14.5,400.0,75.0,a-14.50_x400_l75
3,grid_scan,-14.6,-14.599999999999994,-183.9212119094335,11.29983334955135,983.9212144035046,315.5,400.0000012470355,163.39991667477568,,,0.7044875170512698,0.11403508771929824,0.42105263157894735,1.0,0.684,0.7759197324414716,0.998189092283478,1.0,1.0,0.4647115477262343,76.48167034597853,-14.1,-14.6,183.92121440350456,-14.5,400.0,75.0,a-14.50_x400_l75
4,grid_scan,-14.6,-14.599999999999994,-183.72599322988486,11.30153699715806,983.7259867664263,315.4,399.99999676827076,163.35076849857901,,,0.703712243272624,0.1111111111111111,0.42105263157894735,1.0,0.684,0.7628865979381443,0.9983761064604818,1.0,1.0,0.4650897078977916,76.4561001270832,-14.1,-14.6,183.72599322988486,-14.5,400.0,75.0,a-14.50_x400_l75
8,grid_scan,-14.4,-14.400000000000006,-185.80160891526276,11.98342337348734,985.8016035453079,312.8,399.9999973150226,162.3917116867437,,,0.7035824963271134,0.16129032258064516,0.3870967741935484,1.0,0.682,0.8079710144927537,0.9966157142441245,1.0,1.0,0.46108476979079105,76.65872851141582,-13.9,-14.4,185.80160891526276,-14.5,400.0,75.0,a-14.50_x400_l75
9,grid_scan,-14.4,-14.400000000000006,-185.80160891526276,11.98342337348734,985.8016035453079,312.8,399.9999973150226,162.3917116867437,,,0.6999137365752566,0.16129032258064516,0.3782991202346041,1.0,0.682,0.7589928057553957,0.9966157142441245,1.0,1.0,0.46108476979079105,76.65872851141582,-13.9,-14.4,185.80160891526276,-14.5,400.0,75.0,a-14.50_x400_l75
7,grid_scan,-14.4,-14.400000000000006,-186.9902287744206,11.27305044512299,986.9902292877397,312.7,400.0000002566595,161.98652522256148,,,0.6959337034745643,0.18529411764705883,0.35,1.0,0.68,0.7585034013605442,0.9948333868450466,1.0,1.0,0.4588068537713744,76.81427317298645,-13.9,-14.4,186.99022928773968,-14.5,400.0,75.0,a-14.50_x400_l75
5,grid_scan,-14.6,-14.599999999999994,-180.7976427562913,11.42709232458612,980.7976401360194,314.0,399.999998689864,162.71354616229306,,,0.6940693131047383,0.1511627906976744,0.36046511627906974,1.0,0.688,0.7290969899665551,0.9999588834847573,1.0,1.0,0.47079924300668785,76.07254668945156,-14.1,-14.6,180.7976427562913,-14.5,400.0,75.0,a-14.50_x400_l75
10,grid_scan,-14.4,-14.400000000000006,-188.9712664461578,11.95576219127323,988.9712677740878,314.4,400.000000663965,163.1778810956366,,,0.6935403813521397,0.12389380530973451,0.3775811209439528,1.0,0.678,0.7900355871886121,0.9910370268805312,1.0,1.0,0.45503529919501157,77.07351428577438,-13.9,-14.4,188.97126777408778,-14.5,400.0,75.0,a-14.50_x400_l75
6,grid_scan,-14.4,-14.400000000000006,-187.18833321296682,10.971321613879041,987.1883324878212,312.5,399.9999996374272,161.7356608069395,,,0.6873171179527896,0.16176470588235295,0.3382352941176471,1.0,0.68,0.69,0.9945000905079147,1.0,1.0,0.45842829570231197,76.8401972857583,-13.9,-14.4,187.18833321296682,-14.5,400.0,75.0,a-14.50_x400_l75
