comparison,n,bias,mae,rmse,corr,unit,target_rmse,passes,variant
cumulative_sequential_angle_deg,2665,-5.072718800249771,5.073425693773387,6.11932925350646,0.709487731281808,deg,1.0,False,cumulative_sequential
cumulative_sequential_length_mm,2665,7.979222386269138,8.495782175430618,10.919299696433825,0.6430253210639055,mm,2.0,False,cumulative_sequential
cumulative_sequential_x_sup_px,2665,8.03308545903165,13.460460633666784,15.812635055886657,0.08924063918004081,px,2.0,False,cumulative_sequential
cumulative_sequential_x_deep_px,2665,-95.94776250335518,96.55053784380344,127.00339241071234,0.6560369979719739,px,2.0,False,cumulative_sequential
one_step_handoff_angle_deg,2665,0.0016023645505833543,0.16711230606141475,0.3013109932225762,0.9980618097799612,deg,1.0,True,one_step_handoff
one_step_handoff_length_mm,2665,0.0023884905156002965,0.2854417710029758,0.46622294045826423,0.9988425848983373,mm,2.0,True,one_step_handoff
one_step_handoff_x_sup_px,2665,-0.0067841249857047885,0.6557369566543886,1.2426148881098393,0.9949536266420798,px,2.0,True,one_step_handoff
one_step_handoff_x_deep_px,2665,-0.029242586800612185,3.372742005207715,5.725075081297557,0.9986176668442525,px,2.0,False,one_step_handoff
