group,comparison,n,bias,mae,rmse,corr,median_abs_error,p95_abs_error
current package,Fdat.Region.ANG deg,2664,-1.504465787275876,3.1166261525306744,3.8415277218749773,0.6417302901614336,2.748270021049091,7.543253529641128
current package,Fdat.Region.PEN deg,2664,-1.6323088067483456,3.0132235858443743,3.7467811225875165,0.6311276135296872,2.4721514258980406,7.405088243134419
current package,Fdat.Region.FL mm,2664,1.7639381868612973,6.782001801898302,8.122037364067518,0.5574231728874937,6.895689317792215,14.220996539608702
current package,geofeatures.alpha deg,2664,-1.5345345345345345,3.6674174174174174,4.515571989282242,0.6057451558043635,3.0,9.0
current package,geofeatures.phi/PEN deg,2664,-1.352211217764686,3.6442854646353804,4.405309040197915,0.5791485912152825,3.1249222827620944,8.814015620142605
current package,geofeatures.faslen px,2664,23.906343460660878,86.3040052285513,104.39550290294508,0.5291139876706107,77.67989760082008,195.6169700847288
current package,geofeatures.betha/super deg,2664,-0.18232337467965415,0.37762333127692854,0.467263560176531,0.4325202582703684,0.3480417199427155,0.9175327218408982
current package,geofeatures.gamma/deep deg,2664,-0.4217233860805812,0.4808973822254148,0.6487509165364936,0.22239453929137254,0.36721354057672984,1.2960963668998042
current package,geofeatures.thickness px,2664,3.8023714012902565,6.052138350786269,8.035758768055889,0.4462668553733033,4.521082344047926,15.599689238770637
Notebook 33 exact handles ROI,Fdat.Region.ANG deg,2666,-0.39597179706667135,3.1267295847858265,3.6668565580701715,0.6080707458698544,3.163886884428244,6.529156689436355
Notebook 33 exact handles ROI,Fdat.Region.PEN deg,2666,-0.7174826808458059,3.00460005700874,3.5244116888134975,0.6049530855876695,2.8490643694327673,6.506077702563224
Notebook 33 exact handles ROI,Fdat.Region.FL mm,2666,-0.4105032537043311,6.874918291361264,8.121303107570599,0.50795751733715,7.517329773985438,12.9106756609524
Notebook 33 exact handles ROI,geofeatures.alpha deg,2666,-0.42779444861215304,3.789384846211553,4.415763636351365,0.5712376498183825,3.5,8.0
Notebook 33 exact handles ROI,geofeatures.phi/PEN deg,2666,-0.43874527590448936,3.711044786042181,4.319355677986621,0.552039162746985,3.5508209921412455,7.94506545118558
Notebook 33 exact handles ROI,geofeatures.faslen px,2666,-9.011454292303394,89.32098756660942,105.17462984453377,0.4751142371293009,93.17171986777296,167.47777095533257
Notebook 33 exact handles ROI,geofeatures.betha/super deg,2666,0.010950819131910374,0.3042290580057587,0.39877119241938064,0.3900135866302879,0.23317106046702252,0.8688664489790465
Notebook 33 exact handles ROI,geofeatures.gamma/deep deg,2666,-0.40749447306099584,0.46902998042328775,0.5851288167558943,0.44176823146663946,0.3551087169884749,1.0545565772647525
Notebook 33 exact handles ROI,geofeatures.thickness px,2666,-0.2053263031033975,5.2178858273329745,6.274487419057589,0.3157129725375728,4.831648417184709,11.62855309181839
Notebook 34 Frangi12 adaptive,Fdat.Region.ANG deg,2666,-5.54319610314319,7.202165952585133,9.069636332996652,0.2576009594926282,5.997068242911109,17.905663406237373
Notebook 34 Frangi12 adaptive,Fdat.Region.PEN deg,2666,-5.864706983345152,7.422959287035022,9.207629264283248,0.24204380600781875,6.109200993765171,18.07399806027495
Notebook 34 Frangi12 adaptive,Fdat.Region.FL mm,2666,17.293400380952956,19.787778605472713,27.22011263464085,0.08973846662919453,14.200232166356738,60.77359282722669
Notebook 34 Frangi12 adaptive,geofeatures.alpha deg,2666,-5.5750187546886725,7.340210052513128,9.324784871686091,0.26389319910257153,6.0,19.0
Notebook 34 Frangi12 adaptive,geofeatures.phi/PEN deg,2666,-5.5859695784038355,7.356339448550976,9.297071799842643,0.24462326958417538,5.886536721712702,18.579328696054638
Notebook 34 Frangi12 adaptive,geofeatures.faslen px,2666,187.2330004828894,220.4386305993445,303.0729683304258,0.0938235763598472,154.83614506470317,675.1068005857444
Notebook 34 Frangi12 adaptive,geofeatures.betha/super deg,2666,0.010950819131910374,0.3042290580057587,0.39877119241938064,0.3900135866302879,0.23317106046702252,0.8688664489790465
Notebook 34 Frangi12 adaptive,geofeatures.gamma/deep deg,2666,-0.40749447306099584,0.46902998042328775,0.5851288167558943,0.44176823146663946,0.3551087169884749,1.0545565772647525
Notebook 34 Frangi12 adaptive,geofeatures.thickness px,2666,-0.2053263031033975,5.2178858273329745,6.274487419057589,0.3157129725375728,4.831648417184709,11.62855309181839
