frame_index_video,frame_index_matlab,frame_index_python,time_seconds,variable,method,unit,error_python_minus_matlab,absolute_error,error_p95_threshold,python_jump,jump_p95_threshold,confidence_score,relevant_R_scale,fallback_flag,missing_detection_flag,flag_reason,physical_error_threshold
40,41,40,1.199724063465403,ANG,fixed-R,deg,0.29756530839657813,0.29756530839657813,1.3056817061752408,0.30439175398561247,0.3019525368642973,0.8296854532858754,1.7995757739442337,False,False,abrupt Python frame-to-frame jump above method-variable 95th percentile,not applied; no prospectively justified threshold was supplied
41,42,41,1.229717165052038,ANG,fixed-R,deg,0.269541120269416,0.269541120269416,1.3056817061752408,0.3076795827914225,0.3019525368642973,0.8321122072037325,1.7872083842547517,False,False,abrupt Python frame-to-frame jump above method-variable 95th percentile,not applied; no prospectively justified threshold was supplied
42,43,42,1.259710266638673,ANG,fixed-R,deg,0.2894063652000547,0.2894063652000547,1.3056817061752408,0.3174317937613296,0.3019525368642973,0.8152621487824264,1.9526957962069038,False,False,abrupt Python frame-to-frame jump above method-variable 95th percentile,not applied; no prospectively justified threshold was supplied
43,44,43,1.289703368225308,ANG,fixed-R,deg,0.3132749483696209,0.3132749483696209,1.3056817061752408,0.3977806147991316,0.3019525368642973,0.7858567959723618,2.179533894105904,False,False,abrupt Python frame-to-frame jump above method-variable 95th percentile,not applied; no prospectively justified threshold was supplied
64,65,64,1.9195585015446446,ANG,fixed-R,deg,0.44643617560506854,0.44643617560506854,1.3056817061752408,0.0560146022443746,0.3019525368642973,0.8513169259870547,1.928417481019927,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
68,69,68,2.039530907891185,ANG,fixed-R,deg,0.46913437079004083,0.46913437079004083,1.3056817061752408,0.04071069590250431,0.3019525368642973,0.9597908887716384,0.90291122407045,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
71,72,71,2.1295102126510903,ANG,fixed-R,deg,0.5060116733544469,0.5060116733544469,1.3056817061752408,0.13376526725545546,0.3019525368642973,0.8957155632203861,1.2325791827120707,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
76,77,76,2.2794757205842657,ANG,fixed-R,deg,0.6107505606916348,0.6107505606916348,1.3056817061752408,0.10338337957850285,0.3019525368642973,0.8558964921058834,1.66439449037366,True,False,promoted Hough localmax fallback used,not applied; no prospectively justified threshold was supplied
91,92,91,2.7293722443837916,ANG,fixed-R,deg,0.7877368726479475,0.7877368726479475,1.3056817061752408,0.3623107117097959,0.3019525368642973,0.8239172500475014,1.9015689692714366,False,False,abrupt Python frame-to-frame jump above method-variable 95th percentile,not applied; no prospectively justified threshold was supplied
93,94,93,2.7893584475570616,ANG,fixed-R,deg,0.8593129485544324,0.8593129485544324,1.3056817061752408,0.3338912450716691,0.3019525368642973,0.8286682070299706,1.8783024724969146,False,False,abrupt Python frame-to-frame jump above method-variable 95th percentile,not applied; no prospectively justified threshold was supplied
