method,signal,unit,n,bias,mae,rmse,corr
Python normal Kalman,ANG_deg,deg,2666,0.7518217329182563,0.7557755773382453,0.8345057934816221,0.9982005727540062
Python adaptive Kalman,ANG_deg,deg,2666,0.9554531107179937,0.9565143102746304,1.0374394922169232,0.998390620100148
Python normal Kalman,PEN_deg,deg,2666,-0.6711518201049086,0.7616082899870273,0.9339748052777719,0.9954921219139591
Python adaptive Kalman,PEN_deg,deg,2666,-0.4675204423051712,0.6915273376311292,0.841235819430602,0.9958161152894766
Python normal Kalman,FL_mm,mm,2666,0.5629390129608945,1.2587805511961652,1.5357581018702688,0.9976956476684625
Python adaptive Kalman,FL_mm,mm,2666,0.19452083045445992,1.2378893077352826,1.434717829353917,0.9977535769576804
