variable,method,unit,final_python_offset_frames,paired_frames_n,reference_frames_n,missing_frames_n,missing_frames_percent,nrmse_denominator_definition,mean_matlab,mean_python,bias_python_minus_matlab,difference_sd,mae,median_absolute_error,rmse,matlab_range,nrmse,maximum_absolute_error,p95_absolute_error,pearson_r,spearman_rho,regression_slope,regression_intercept,regression_r_squared,bland_altman_lower_loa,bland_altman_upper_loa,bland_altman_width,large_outlier_frames_n,large_outlier_rule,rmse_change_adaptive_minus_fixed,rmse_percent_change,mae_change_adaptive_minus_fixed,mae_percent_change,bland_altman_width_change_adaptive_minus_fixed,bland_altman_width_percent_change
ANG,fixed-R,deg,0,2666,2666,0,0.0,paired MATLAB maximum minus paired MATLAB minimum,25.526129336451522,26.277167483915186,0.7510381474636673,0.33362467488228026,0.7512537092131106,0.7339972488677429,0.8217797592205515,14.870470726425879,0.055262524928695815,1.5163809173529188,1.3056817061752408,0.9986614837896617,0.9949613530088542,1.0482848622551912,-0.48148749145509484,0.9973247592049684,0.09713378469439793,1.4049425102329365,1.3078087255385387,134,absolute error strictly above method-variable 95th percentile,0.2056907686937789,25.02991420582982,0.20336871261293887,27.070576839607803,0.18202799392507418,13.91854866621397
ANG,adaptive anisotropic-R,deg,0,2666,2666,0,0.0,paired MATLAB maximum minus paired MATLAB minimum,25.526129336451522,26.480751758277567,0.9546224218260495,0.3800603876182686,0.9546224218260495,0.892346543346866,1.0274705279143304,14.870470726425879,0.0690946875063237,1.800655814387099,1.5533835299059247,0.9988288156926001,0.9951478916228171,1.0647366735198522,-0.6978542792533382,0.9976590030578814,0.20970406209424308,1.699540781557856,1.4898367194636128,134,absolute error strictly above method-variable 95th percentile,0.2056907686937789,25.02991420582982,0.20336871261293887,27.070576839607803,0.18202799392507418,13.91854866621397
PEN,fixed-R,deg,0,2666,2666,0,0.0,paired MATLAB maximum minus paired MATLAB minimum,26.95886582910092,26.286907987574736,-0.671957841526183,0.648858163976167,0.7561673242810986,0.6366687174561374,0.9340162401816063,14.185718921355711,0.06584200951391356,1.861928115042609,1.6381704989951764,0.995542407552612,0.9890795167277818,1.1073450456712153,-3.5658585251951855,0.9911046852356509,-1.9437198429194704,0.5998041598671043,2.5435240027865746,134,absolute error strictly above method-variable 95th percentile,-0.09224121678821284,-9.875761557451916,-0.06742399963098344,-8.916544984945576,0.19878136359162957,7.815195114095772
PEN,adaptive anisotropic-R,deg,0,2666,2666,0,0.0,paired MATLAB maximum minus paired MATLAB minimum,26.95886582910092,26.490492261937117,-0.4683735671638007,0.6995676955046439,0.6887433246501151,0.5617248501647776,0.8417750233933935,14.185718921355711,0.05933960964968465,1.7022092025497102,1.5131162495088102,0.9958448862716875,0.9894713044330007,1.1249208605968612,-3.8360982872504046,0.9917070375134703,-1.8395262503529028,0.9027791160253014,2.742305366378204,134,absolute error strictly above method-variable 95th percentile,-0.09224121678821284,-9.875761557451916,-0.06742399963098344,-8.916544984945576,0.19878136359162957,7.815195114095772
FL,fixed-R,mm,0,2666,2666,0,0.0,paired MATLAB maximum minus paired MATLAB minimum,55.21521649079192,55.78101913018909,0.5658026393971687,1.4142635394540195,1.2626242948373503,1.0498342750308574,1.5229982748539261,30.461804100706374,0.049996982116322176,3.91108482175801,2.834944372520088,0.9979631767190226,0.9942306811642351,1.131950725482617,-6.719885234242589,0.9959305020871237,-2.2061538979327096,3.337759176727047,5.5439130746597565,134,absolute error strictly above method-variable 95th percentile,-0.10135580006715217,-6.655017391721826,-0.02485069446970134,-1.9681780693838602,-0.024095809048366057,-0.4346354050626033
FL,adaptive anisotropic-R,mm,0,2666,2666,0,0.0,paired MATLAB maximum minus paired MATLAB minimum,55.21521649079192,55.412747655287106,0.19753116449517785,1.408116649390661,1.237773600367649,1.192322941589783,1.421642474786774,30.461804100706374,0.046669674261144885,3.9110378381776627,2.3711608811584455,0.9980058935449793,0.9944878699578321,1.1316341878878249,-7.070679017320643,0.9960157635505114,-2.562377468310517,2.9574397973008733,5.51981726561139,134,absolute error strictly above method-variable 95th percentile,-0.10135580006715217,-6.655017391721826,-0.02485069446970134,-1.9681780693838602,-0.024095809048366057,-0.4346354050626033
