mode,offset_px,initial_back_front_spacing_px,mean_zncc,median_zncc,invalid_rows,fallback_rows,invalid_frames,max_cumulative_displacement_px,peak_abs_longitudinal_strain_percent,peak_longitudinal_strain_percent,outer_line_angle_error_deg_median_abs,outer_line_angle_error_deg_q90_abs
independent,25.0,50.0,0.9126763336629753,0.9268633127212524,29,29,21,74.88384167502598,36.71508652703115,36.71508652703115,2.524110794539041,3.6010877698949204
line_aligned,25.0,50.0,0.900458178606378,0.9232126474380493,44,44,33,52.00876148999805,29.999999999999964,-29.999999999999964,0.0,2.842170943040401e-14
independent,35.0,70.0,0.8945624500393389,0.9211968779563904,26,26,19,63.73409203413437,39.78652252523934,39.78652252523934,3.208646587164111,4.780790953316142
line_aligned,35.0,70.0,0.8898204532732447,0.9209772944450378,42,42,32,55.97844409495895,41.42857142857142,-41.42857142857142,2.842170943040401e-14,2.842170943040401e-14
independent,45.0,90.0,0.9000492319763904,0.9217722415924072,30,30,25,65.31333562960845,29.210395554064668,-29.210395554064668,2.0188553104885756,3.771223616415199
line_aligned,45.0,90.0,0.8837473837726088,0.9217157363891602,46,46,34,75.00701046262061,32.2222222222222,-32.2222222222222,0.0,2.842170943040401e-14
