fraction,x,y,texture_variance,zncc_0_1,texture_score,zncc_score,combined_score
0.555,337.93322490047296,230.43132496276758,1435.4854736328125,0.9876263737678528,1.0,1.0,1.0
0.55,343.4847496867603,229.14965445673124,1457.5445556640625,0.9879372715950012,1.0,1.0,1.0
0.545,349.0362744730477,227.86798395069493,1389.526611328125,0.9879698157310486,1.0,1.0,1.0
0.575,315.7271257553235,235.55800698691283,1375.9847412109375,0.9840830564498901,1.0,1.0,1.0
0.58,310.17560096903617,236.83967749294914,1443.3602294921875,0.9854297041893005,1.0,1.0,1.0
0.585,304.6240761827488,238.12134799898547,1519.0924072265625,0.9861771464347839,1.0,1.0,1.0
0.59,299.07255139646145,239.40301850502178,1564.272705078125,0.986300528049469,1.0,1.0,1.0
0.595,293.5210266101741,240.6846890110581,1469.4647216796875,0.9855910539627075,1.0,1.0,1.0
0.56,332.3817001141855,231.71299546880388,1367.6153564453125,0.986159086227417,0.9935162621310762,1.0,0.9970823179589844
0.6,287.96950182388673,241.96635951709442,1322.4381103515625,0.9847514033317566,0.9546288396296955,1.0,0.979582977833363
0.5650000000000001,326.83017532789813,232.99466597484022,1282.56884765625,0.9844785332679749,0.9203103940114343,1.0,0.9641396773051455
0.57,321.2786505416109,234.2763364808765,1256.7008056640625,0.9822196364402771,0.8980438424791394,1.0,0.9541197291156127
0.54,354.58779925933504,226.5863134446586,1246.485107421875,0.9877818822860718,0.889250429687528,1.0,0.9501626933593876
0.44999999999999996,454.51524541250757,203.51624433600483,1176.5809326171875,0.9926589131355286,0.8290786968953351,1.0,0.9230854136029009
0.44499999999999995,460.0667701987949,202.2345738299685,1145.2138671875,0.9916974902153015,0.802078726081234,1.0,0.9109354267365554
0.43999999999999995,465.6182949850823,200.9529033239322,1141.100341796875,0.9913013577461243,0.7985379082212113,1.0,0.9093420586995451
0.43500000000000005,471.16981977136953,199.67123281789588,1113.9080810546875,0.9904603958129883,0.7751315029247308,1.0,0.8988091763161289
0.605,282.41797703759937,243.24803002313075,1111.675537109375,0.9856688380241394,0.7732097859729248,1.0,0.8979444036878161
0.535,360.1393240456224,225.3046429386223,1083.02197265625,0.9877690672874451,0.748545527670262,1.0,0.886845487451618
0.45499999999999996,448.9637206262202,204.79791484204117,983.3941040039062,0.991683840751648,0.6627883964552244,1.0,0.8482547784048511
0.43000000000000005,476.7213445576569,198.38956231185955,976.2319946289062,0.988673985004425,0.6566234351672176,1.0,0.8454805458252479
0.61,276.866452251312,244.52970052916706,908.6103515625,0.9834230542182922,0.5984164475455285,1.0,0.8192874013954878
0.655,226.90272917472578,256.06473508349393,888.5081176757812,0.9797480702400208,0.5811129567406175,1.0,0.8115008305332779
0.66,221.35120438843842,257.34640558953026,876.65673828125,0.9806127548217773,0.5709115912837033,1.0,0.8069102160776666
