mode,offset_px,box_size_px,frame,time_s,point_id,x,y,dx,dy,cumulative_dx,cumulative_dy,d_parallel_px,d_perpendicular_px,signed_offset_px,zncc,forward_backward_error,valid,fallback_used,strain_back_front_percent,strain_back_center_percent,strain_center_front_percent,dx_mm,dy_mm,cumulative_dx_mm,cumulative_dy_mm,d_parallel_mm,d_perpendicular_mm
independent,25.0,41,0,0.0,back,362.29247650025576,224.80754851819933,0.0,0.0,0.0,0.0,0.0,0.0,-25.00000000000003,,,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent,25.0,41,0,0.0,center,337.93322490047296,230.43132496276758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent,25.0,41,0,0.0,front,313.57397330069017,236.05510140733583,0.0,0.0,0.0,0.0,0.0,0.0,25.00000000000003,,,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent,25.0,41,1,0.09090909090909091,back,362.0,225.0,-0.2924765002557592,0.19245148180067417,-0.2924765002557592,0.19245148180067417,0.32827251067307417,-0.12172606452822157,-25.48400688869642,0.9877896904945374,0.35011437566762715,True,False,0.4371895423684004,1.9360275547855657,-1.0616484700487647,-0.01853569820370874,0.012196612659117726,-0.01853569820370874,0.012196612659117726,0.020804270363906075,-0.007714389339476042
independent,25.0,41,1,0.09090909090909091,center,337.0,230.0,-0.9332249004729647,-0.4313249627675759,-0.9332249004729647,-0.4313249627675759,0.8122793993694645,0.6302000600834688,0.0,0.9876263737678528,0.4364632142842008,True,False,0.4371895423684004,1.9360275547855657,-1.0616484700487647,-0.05914312806747414,-0.027335219515395123,-0.05914312806747414,-0.027335219515395123,0.051478206935039815,0.03993892880778984
independent,25.0,41,1,0.09090909090909091,front,313.0,236.0,-0.5739733006901702,-0.055101407335826025,-0.5739733006901702,-0.055101407335826025,0.5468672818572738,0.1828050629211187,24.734587882487837,0.9844650030136108,0.42957527118680466,True,False,0.4371895423684004,1.9360275547855657,-1.0616484700487647,-0.03637555793123953,-0.0034920516899079744,-0.03637555793123953,-0.0034920516899079744,0.03465771398770473,0.011585270862625898
independent,25.0,41,2,0.18181818181818182,back,363.0,225.0,1.0,0.0,0.7075234997442408,0.19245148180067417,-0.6460975533182366,-0.3466771223109514,-24.509636824705108,0.9572908282279968,0.0,True,False,0.8870916579338645,-1.961452701179679,3.7356360170473932,0.063375,0.0,0.04483930179629126,0.012196612659117726,-0.040946432441543244,-0.021970662626456545
independent,25.0,41,2,0.18181818181818182,center,339.0,230.0,2.0,0.0,1.0667750995270353,-0.4313249627675759,-1.1364607286131572,0.18029794451800918,0.0,0.9575985074043274,0.0,True,False,0.8870916579338645,-1.961452701179679,3.7356360170473932,0.12675,0.0,0.06760687193252586,-0.027335219515395123,-0.07202319867585884,0.011426382233828832
independent,25.0,41,2,0.18181818181818182,front,314.0,237.0,1.0,1.0,0.42602669930982984,0.944898592664174,-0.2025517243513071,-1.0165160588529218,25.933909004261878,0.9550983309745789,1.4142135623730951,True,False,0.8870916579338645,-1.961452701179679,3.7356360170473932,0.063375,0.063375,0.026999442068760465,0.05988294831009203,-0.012836715530764087,-0.06442170522980392
independent,25.0,41,3,0.2727272727272727,back,363.0,227.0,0.0,2.0,0.7075234997442408,2.192451481800674,-0.19619543775277687,-2.295417250293573,-22.186187193618196,0.8661444783210754,0.0,True,False,-8.406706866413789,-11.255251225527319,-5.558162507300246,0.0,0.12675,0.04483930179629126,0.13894661265911773,-0.012433885867582234,-0.1454720682373552
independent,25.0,41,3,0.2727272727272727,center,341.5,232.5,2.5,2.5,3.5667750995270353,2.068675037232424,-3.0100082441346094,-2.8180048599170924,0.0,0.889359176158905,2.23606797749979,False,True,-8.406706866413789,-11.255251225527319,-5.558162507300246,0.1584375,0.1584375,0.22604437193252586,0.13110228048460487,-0.19075927247203087,-0.17859105799724573
