variant,frame,time_s,ANG_deg,PEN_deg,FL,FL_px
regular_fixed_R,0,0.0,17.499999999999943,19.328384403941925,75.83031382339634,840.5648198964249
regular_fixed_R,1,0.02999310158663507,17.50000606513882,19.32908541649232,75.82804581334392,840.539679429966
regular_fixed_R,2,0.05998620317327014,17.499418580712188,19.329325633141963,75.8275828889996,840.5345480003505
regular_fixed_R,3,0.08997930475990522,17.495753119262247,19.327614790614547,75.83520607341737,840.6190495712141
regular_fixed_R,4,0.11997240634654029,17.492056039533793,19.325188585935024,75.84501764044633,840.7278089532709
regular_fixed_R,5,0.14996550793317537,17.486789217419073,19.320949373817626,75.85980173965842,840.8916879228408
regular_fixed_R,6,0.17995860951981044,17.48169340681079,19.31680353301266,75.87441043717195,841.0536225974483
regular_fixed_R,7,0.2099517111064455,17.47632114762041,19.316869404485658,75.86724343270153,840.9741776958235
regular_fixed_R,8,0.23994481269308057,17.472376252013333,19.3170271815724,75.8614051188124,840.9094610803267
regular_fixed_R,9,0.26993791427971564,17.471050827110872,19.315558338310865,75.86302110934221,840.9273740325507
regular_fixed_R,10,0.29993101586635074,17.469523207623723,19.31402393844178,75.86678017535823,840.9690425749767
regular_fixed_R,11,0.3299241174529858,17.467838309703296,19.312772959865868,75.87194299822663,841.02627149908
regular_fixed_R,12,0.3599172190396209,17.466371351470343,19.310776751641527,75.88053342701336,841.1214947925346
regular_fixed_R,13,0.38991032062625597,17.464908821158048,19.308685463498648,75.8889298752371,841.2145678477957
regular_fixed_R,14,0.419903422212891,17.464265475606112,19.307696270542635,75.89287627605273,841.2583129613735
regular_fixed_R,15,0.4498965237995261,17.463401975575835,19.306341510497106,75.89860397202106,841.3218033979455
regular_fixed_R,16,0.47988962538616114,17.46308919065939,19.30532231708918,75.90319646765428,841.3727103515129
regular_fixed_R,17,0.5098827269727962,17.460458860495947,19.304484427820768,75.90427827157761,841.384701945298
regular_fixed_R,18,0.5398758285594313,17.458709424576256,19.30356658431029,75.90620993701455,841.4061140947174
regular_fixed_R,19,0.5698689301460664,17.455295838304153,19.301865579094624,75.91091659702388,841.4582865390023
regular_fixed_R,20,0.5998620317327015,17.452852782615707,19.30005375051627,75.9167756105694,841.5232326063117
regular_fixed_R,21,0.6298551333193365,17.452070279101264,19.297786919053465,75.91830885883775,841.5402283760711
regular_fixed_R,22,0.6598482349059716,17.450849166915276,19.295492327670928,75.9204235260261,841.5636690656146
regular_fixed_R,23,0.6898413364926067,17.44913327444874,19.2953379749963,75.92052385464055,841.5647811895067
regular_fixed_R,24,0.7198344380792417,17.447164390582117,19.293712429646035,75.92910122207441,841.6598597003119
regular_fixed_R,25,0.7498275396658768,17.448500703127223,19.292787868001398,75.92976649700033,841.6672341482088
regular_fixed_R,26,0.7798206412525119,17.448740330721932,19.28721983499119,75.95117952489692,841.9045935501393
regular_fixed_R,27,0.809813742839147,17.45110160383942,19.279100483179377,75.98963543221312,842.3308700769975
regular_fixed_R,28,0.839806844425782,17.455119423714876,19.278561715510193,75.99192586541363,842.3562590998513
regular_fixed_R,29,0.8697999460124172,17.456988515517224,19.275749992876854,76.00138390019549,842.4610996431926
regular_fixed_R,30,0.8997930475990522,17.458331258865,19.27352165510476,76.00641538626239,842.5168727234607
regular_fixed_R,31,0.9297861491856872,17.46863527581661,19.282811345198695,75.96894131593099,842.1014796756058
regular_fixed_R,32,0.9597792507723223,17.47789138214395,19.29120934413774,75.928656584204,841.6549309728332
regular_fixed_R,33,0.9897723523589574,17.485326282284547,19.294388929582993,75.90574706630989,841.4009832596873
regular_fixed_R,34,1.0197654539455925,17.489355899361072,19.296733773441304,75.89671221878183,841.3008336677591
regular_fixed_R,35,1.0497585555322275,17.49055733958403,19.29487701161213,75.89644193562336,841.2978376295922
regular_fixed_R,36,1.0797516571188626,17.48866169292694,19.290633302209415,75.89911686472483,841.3274887174625
regular_fixed_R,37,1.1097447587054976,17.48450083924206,19.289564222206735,75.89846519891836,841.3202651241048
regular_fixed_R,38,1.1397378602921329,17.4838474404807,19.294812269772137,75.88101068388096,841.126785095485
regular_fixed_R,39,1.169730961878768,17.47502111865151,19.34942938922785,75.59821032437306,837.9919961005454
regular_fixed_R,40,1.199724063465403,17.84506909655363,19.491395180932614,74.49150618361944,825.7243880708899
regular_fixed_R,41,1.229717165052038,18.236375576090524,19.564608064573463,73.35686574958221,813.1471114647968
regular_fixed_R,42,1.259710266638673,18.576083906178155,19.774869083463756,72.13090366988418,799.5575515281046
regular_fixed_R,43,1.289703368225308,19.13184501804733,20.339046750540433,70.36890105552433,780.0260827062066
regular_fixed_R,44,1.319696469811943,19.45544762751061,20.600645746353905,69.06724456782425,765.597464440182
regular_fixed_R,45,1.3496895713985784,19.72083725091224,20.89042283161541,67.87278599704925,752.3571149968772
regular_fixed_R,46,1.3796826729852134,20.026956135470897,21.118023699552168,66.90563708395908,741.6364505164694
regular_fixed_R,47,1.4096757745718485,20.37023867309975,21.323006526805557,65.9577145037937,731.1289063339656
regular_fixed_R,48,1.4396688761584835,20.59468451177574,21.546750332978036,65.22687667407239,723.0277059335044
regular_fixed_R,49,1.4696619777451185,20.9283587398549,21.79543153280153,64.21912605799332,711.856979183279
regular_fixed_R,50,1.4996550793317536,21.134389226624222,21.974199007861415,63.5382683423699,704.3097989824829
regular_fixed_R,51,1.5296481809183886,21.25152765589243,22.09531115724684,63.08317497877099,699.2651743208934
regular_fixed_R,52,1.5596412825050239,21.354770179096306,22.173606506305447,62.78805589351936,695.993834559327
regular_fixed_R,53,1.589634384091659,21.493927511665333,22.298875205146373,62.359603849815365,691.2445239368093
regular_fixed_R,54,1.619627485678294,21.62743952068655,22.418619098123088,61.997901624091654,687.2351225392407
regular_fixed_R,55,1.649620587264929,21.785565609023962,22.570112881644462,61.612864916703735,682.9670627847632
regular_fixed_R,56,1.679613688851564,21.904041642714986,22.70582744431286,61.27787960529657,679.2538133762656
regular_fixed_R,57,1.709606790438199,21.97739771365022,22.78764645396717,61.088109950566555,677.150252312
regular_fixed_R,58,1.7395998920248343,22.10769654768356,22.931699604499812,60.76585532227083,673.578120140359
regular_fixed_R,59,1.7695929936114694,22.237131209556424,23.05807064533846,60.5050037660488,670.6866295171484
regular_fixed_R,60,1.7995860951981044,22.34234855434792,23.165045062057487,60.274993674732585,668.1370107534459
regular_fixed_R,61,1.8295791967847395,22.423018769134245,23.278623563104986,60.08116084864979,665.9884101960785
regular_fixed_R,62,1.8595722983713745,22.461271511379834,23.34586781408518,59.98544825356773,664.9274540139065
regular_fixed_R,63,1.8895653999580095,22.55042910345645,23.448548620613366,59.72959798127906,662.091401685973
regular_fixed_R,64,1.9195585015446446,22.59162241041534,23.501428969304982,59.61119804611618,660.7789605900846
regular_fixed_R,65,1.9495516031312798,22.641648405777403,23.538878585680948,59.51512645903764,659.7140250488984
regular_fixed_R,66,1.9795447047179149,22.69898767722674,23.56512512962857,59.50141577669208,659.5620447041606
regular_fixed_R,67,2.0095378063045497,22.756396410368637,23.61326012830756,59.40052651252722,658.4437061151932
regular_fixed_R,68,2.039530907891185,22.785983758830668,23.635337464402994,59.38365133864966,658.2566479747753
regular_fixed_R,69,2.0695240094778202,22.824256236979977,23.728033458819795,59.29318724172898,657.2538704112758
regular_fixed_R,70,2.099517111064455,22.905197470866682,23.77582097450039,59.12078855933449,655.3428633204336
regular_fixed_R,71,2.1295102126510903,23.00961430214369,23.852798169915445,58.960343040500916,653.5643548079194
regular_fixed_R,72,2.159503314237725,23.14827993603157,23.957361943675295,58.75946612631082,651.3376718537806
regular_fixed_R,73,2.1894964158243604,23.277801637765407,24.077953059925335,58.558562273183924,649.1106902865752
regular_fixed_R,74,2.219489517410995,23.425457145481317,24.20221954952828,58.26200692638874,645.8234298349205
regular_fixed_R,75,2.2494826189976305,23.52648567944351,24.282275096949945,58.03377224358257,643.2934911418816
regular_fixed_R,76,2.2794757205842657,23.569978978480776,24.34196092174659,57.89257748740909,641.7283737263098
regular_fixed_R,77,2.3094688221709005,23.609773830634566,24.40014784019388,57.74844351081728,640.1306756031422
regular_fixed_R,78,2.339461923757536,23.63549393285001,24.434134936243396,57.713497337243766,639.7433038171794
regular_fixed_R,79,2.3694550253441706,23.618262536974726,24.355917562842762,57.79585276650719,640.6561983190737
regular_fixed_R,80,2.399448126930806,23.587507325219434,24.400393529390726,57.827227037917204,641.0039762388454
regular_fixed_R,81,2.4294412285174407,23.590171795266087,24.43025714651486,57.841964564550544,641.1673389601066
regular_fixed_R,82,2.459434330104076,23.63533895417723,24.48227929722455,57.797162726033655,640.6707189749686
regular_fixed_R,83,2.4894274316907112,23.680082189805745,24.580913979157344,57.77465217158881,640.4211936969016
regular_fixed_R,84,2.519420533277346,23.707099851665703,24.637806515767807,57.79670756882011,640.6656736425424
regular_fixed_R,85,2.5494136348639813,23.71689270185439,24.662287540965025,57.78589309181359,640.5457971913064
regular_fixed_R,86,2.579406736450616,23.7006213763365,24.649175017703243,57.81328426239816,640.8494231847685
regular_fixed_R,87,2.6093998380372514,23.69762992053171,24.629603340690778,57.86485728208403,641.4211004444028
regular_fixed_R,88,2.639392939623886,23.785017836339875,24.596723453017034,57.85017686752698,641.2583707998059
regular_fixed_R,89,2.6693860412105215,23.822387535083664,24.511970764079308,57.91045104253301,641.9264987357702
regular_fixed_R,90,2.6993791427971567,23.90803821909992,24.531134174237195,57.76906302094772,640.3592390093218
regular_fixed_R,91,2.7293722443837916,24.282007789495964,25.03252519686555,56.76727001972307,629.2545513034391
regular_fixed_R,92,2.759365345970427,24.528776309946068,25.37458043187459,56.05164202300087,621.3219490518045
regular_fixed_R,93,2.7893584475570616,24.798055922129322,25.625047921981434,55.79386044909104,618.4644886072813
regular_fixed_R,94,2.819351549143697,25.150292903299913,26.020847747856067,54.96355025376608,609.2606556729099
regular_fixed_R,95,2.8493446507303317,25.382784704885466,26.268804972715174,54.376685280310916,602.7553674069967
regular_fixed_R,96,2.879337752316967,25.65406079814548,26.45441389158549,54.00134799098055,598.5948238842419
regular_fixed_R,97,2.9093308539036022,25.93727520931546,26.64928751588772,53.53781354741824,593.4566314329201
regular_fixed_R,98,2.939323955490237,26.1860693554745,26.852731694591938,52.91330455443748,586.5340662641787
regular_fixed_R,99,2.9693170570768723,26.362041924826514,26.983148040029022,52.42005689478935,581.0665083801107
regular_fixed_R,100,2.999310158663507,26.444853033683216,27.130040418685667,52.04740651376939,576.9357487325127
regular_fixed_R,101,3.0293032602501424,26.527354270614126,27.22378291721401,51.753955824117924,573.6829028235557
regular_fixed_R,102,3.0592963618367772,26.618499195803423,27.33533230275512,51.4453271491243,570.261811791082
regular_fixed_R,103,3.0892894634234125,26.66989789642875,27.388680005748455,51.2316949702392,567.8937391178388
regular_fixed_R,104,3.1192825650100477,26.70838900976068,27.40037887791098,51.07133011432718,566.1161247386957
regular_fixed_R,105,3.1492756665966826,26.706645947354588,27.451736816656194,50.92588137434695,564.5038527097236
regular_fixed_R,106,3.179268768183318,26.78987229080235,27.563320390869706,50.70034865485358,562.0038647737221
regular_fixed_R,107,3.2092618697699526,26.98233242075014,27.76789078454391,50.288656355487696,557.4403327768064
regular_fixed_R,108,3.239254971356588,27.100241345078757,27.90831256685604,50.023098909006634,554.4966782418486
regular_fixed_R,109,3.269248072943223,27.329492274718746,28.15179002044806,49.63183526372108,550.159594047559
regular_fixed_R,110,3.299241174529858,27.51423129005846,28.38649935165469,49.281688476453965,546.2782825200617
regular_fixed_R,111,3.3292342761164933,27.748449445511056,28.64693556742401,48.90478030481745,542.10032606129
regular_fixed_R,112,3.359227377703128,27.95094779931381,28.87405008497774,48.58579391554328,538.564421706811
regular_fixed_R,113,3.3892204792897633,28.100178714630914,29.033179920001345,48.356892537464084,536.0270928215939
regular_fixed_R,114,3.419213580876398,28.237346332761973,29.154446084670354,48.1691231417073,533.9457042532446
regular_fixed_R,115,3.4492066824630334,28.438492971325985,29.362900701787794,47.84957028823631,530.403520749286
regular_fixed_R,116,3.4791997840496687,28.620544296245356,29.732800173958594,47.34032954357827,524.7586825146151
regular_fixed_R,117,3.5091928856363035,28.72510353309781,29.74887181730034,47.24050801054862,523.6521795252135
regular_fixed_R,118,3.5391859872229388,28.766563734719284,29.734411574205183,47.13764393552829,522.5119505279466
regular_fixed_R,119,3.5691790888095736,28.772494928117936,29.763018486884647,47.144556429228146,522.5885742253691
regular_fixed_R,120,3.599172190396209,28.773158591193692,29.724217426483847,47.30184989775885,524.3321428508968
regular_fixed_R,121,3.6291652919828437,28.72731709721586,29.711104404445877,47.39533039981663,525.3683567001369
regular_fixed_R,122,3.659158393569479,28.711610340925915,29.637855875518596,47.50967660446677,526.6358629528663
regular_fixed_R,123,3.689151495156114,28.69800120599365,29.640182428264495,47.52420230862152,526.7968776616428
regular_fixed_R,124,3.719144596742749,28.707747066609755,29.64131870158255,47.54215739155963,526.995906391647
regular_fixed_R,125,3.7491376983293843,28.726857281323902,29.621043312875656,47.56109097677153,527.2057816360078
regular_fixed_R,126,3.779130799916019,28.703235291935783,29.60702356131037,47.608182362568584,527.7277808237385
regular_fixed_R,127,3.8091239015026543,28.705786833807792,29.60189431656076,47.604274678111324,527.6844648737389
regular_fixed_R,128,3.839117003089289,28.713958650282734,29.603920027973487,47.58700797299259,527.4930666828764
regular_fixed_R,129,3.8691101046759244,28.745007054832257,29.636470898334437,47.548290093724496,527.063886246019
regular_fixed_R,130,3.8991032062625597,28.76541975922669,29.66520433583881,47.505123924770636,526.5853973515009
regular_fixed_R,131,3.9290963078491945,28.781916553051303,29.701998733960068,47.46456826060626,526.1358454134264
regular_fixed_R,132,3.9590894094358298,28.807255069595612,29.728226182827086,47.42699786342111,525.7193846004469
regular_fixed_R,133,3.9890825110224646,28.82006546751552,29.760786380670964,47.38368657649734,525.2392871004241
regular_fixed_R,134,4.019075612609099,28.831060468997322,29.797446606460966,47.32600480584785,524.5998954809959
regular_fixed_R,135,4.049068714195735,28.883498250857343,29.855368719052166,47.26048591144694,523.8736308132777
regular_fixed_R,136,4.07906181578237,28.958264365693196,29.926236152040843,47.20151875642463,523.2199909489278
regular_fixed_R,137,4.109054917369005,28.971127456904185,29.91227633342379,47.24732803512784,523.7277782197602
regular_fixed_R,138,4.1390480189556405,28.967527507130313,29.902361651676244,47.28099410159469,524.100960258308
regular_fixed_R,139,4.169041120542275,28.966791979251724,29.9127335869303,47.26790668659466,523.9558887153096
regular_fixed_R,140,4.19903422212891,28.95409894712563,29.91757433987928,47.258380247703464,523.8502899252336
regular_fixed_R,141,4.229027323715545,28.966523550587283,29.936792072874226,47.22566814946012,523.487682445692
regular_fixed_R,142,4.259020425302181,28.99271291904992,29.96361668686359,47.21229851347386,523.3394825359429
regular_fixed_R,143,4.289013526888816,29.014663315174317,29.983345360652493,47.21445200402045,523.3633535751379
regular_fixed_R,144,4.31900662847545,29.039462920768045,30.004159660426325,47.20612542536887,523.2710550109921
regular_fixed_R,145,4.3489997300620855,29.034279084124194,30.006998786478135,47.22945536334361,523.5296630019548
regular_fixed_R,146,4.378992831648721,29.050160285835204,30.011636173290242,47.2419043244027,523.6676574026492
regular_fixed_R,147,4.408985933235356,29.04084459056773,29.98870169650891,47.27872435059089,524.0758004937294
regular_fixed_R,148,4.43897903482199,29.03205742081036,29.979933897659265,47.29710075341632,524.279499475739
regular_fixed_R,149,4.468972136408626,29.045894797824644,29.995689918963024,47.28796351160515,524.1782148623687
regular_fixed_R,150,4.498965237995261,29.06059938442408,30.002141545651483,47.2781588155659,524.0695316439454
regular_fixed_R,151,4.528958339581896,29.06374295422438,29.99992738051759,47.27681881976841,524.0546780416142
regular_fixed_R,152,4.5589514411685315,29.07026001216741,30.00196309034891,47.26619698455401,523.9369369885474
regular_fixed_R,153,4.588944542755166,29.073052922220626,29.99906546255835,47.29175695552333,524.2202644773986
regular_fixed_R,154,4.618937644341801,29.06268205180578,29.988489572935038,47.31090438347392,524.4325101284485
regular_fixed_R,155,4.648930745928436,29.03847351525542,29.96210558737127,47.32196145134291,524.5550756539391
regular_fixed_R,156,4.678923847515072,29.00609546283448,29.89948761650743,47.35290242221513,524.8980505184398
regular_fixed_R,157,4.708916949101707,28.931971544494246,29.82098766174633,47.458001348537486,526.0630524236304
regular_fixed_R,158,4.738910050688341,28.822220992948758,29.73507149067106,47.59993979786918,527.6364135385104
regular_fixed_R,159,4.7689031522749765,28.714610273608685,29.617647135890024,47.76845370948954,529.5043586732371
regular_fixed_R,160,4.798896253861612,28.608808455869735,29.492101707359325,47.89729842462318,530.9325781979926
regular_fixed_R,161,4.828889355448247,28.54766096110177,29.44368651909363,47.95814152705684,531.6070125878883
regular_fixed_R,162,4.858882457034881,28.42489853531083,29.32113732578543,48.18999116612973,534.1770223937851
regular_fixed_R,163,4.888875558621517,28.31820639280909,29.199059564646348,48.382142059630084,536.3069790436313
regular_fixed_R,164,4.918868660208152,28.214811059079523,29.066986495058217,48.54692467478804,538.1335634562303
regular_fixed_R,165,4.948861761794787,28.098348143385323,28.945238688722384,48.76223186101413,540.5202032719909
regular_fixed_R,166,4.9788548633814225,28.007619833936275,28.871222971324812,48.9059828987512,542.1136565897075
regular_fixed_R,167,5.008847964968057,27.96244758383591,28.830375431060844,48.967977478632974,542.8008548913556
regular_fixed_R,168,5.038841066554692,27.933127249939844,28.790597897644886,48.990552289313705,543.0510924377573
regular_fixed_R,169,5.068834168141327,27.822445493564572,28.707562429019333,49.01421138679802,543.3133491002068
regular_fixed_R,170,5.098827269727963,27.702704411939038,28.57103008720452,49.04923354461531,543.7015631572742
regular_fixed_R,171,5.128820371314598,27.674210537786365,28.504951277558575,49.07727200704661,544.0123642595698
regular_fixed_R,172,5.158813472901232,27.63472559039249,28.432137328551676,49.14340735599906,544.7454622104826
regular_fixed_R,173,5.1888065744878675,27.52220267073244,28.32988990648255,49.20244268218015,545.3998577393538
regular_fixed_R,174,5.218799676074503,27.45581939642446,28.261774486672834,49.25587737111394,545.9921712537679
regular_fixed_R,175,5.248792777661138,27.464170393535284,28.247113484002597,49.25639656307058,545.9979263993228
regular_fixed_R,176,5.278785879247772,27.492510618394675,28.252320392272566,49.243766165417235,545.857920807978
regular_fixed_R,177,5.308778980834408,27.493708038688624,28.228841837421584,49.25849045683927,546.0211368194017
regular_fixed_R,178,5.338772082421043,27.387661532195438,28.118800027435327,49.30358170432169,546.520964848694
regular_fixed_R,179,5.368765184007678,27.304224365607666,28.04705551701349,49.36284543164315,547.1778921614092
regular_fixed_R,180,5.3987582855943135,27.234187308007904,27.97872568671329,49.43772393444541,548.0079063344836
regular_fixed_R,181,5.428751387180948,27.141130608743794,27.874965829926367,49.55341702537747,549.2903425692729
regular_fixed_R,182,5.458744488767583,26.974870431340662,27.739245836189667,49.75951841456039,551.574937849762
regular_fixed_R,183,5.488737590354218,26.81184123781688,27.549363874047373,50.03264307819403,554.6024735689357
regular_fixed_R,184,5.518730691940854,26.651149295029967,27.40287252517018,50.21728505287048,556.6491952606156
regular_fixed_R,185,5.548723793527489,26.52483027278086,27.256432771802395,50.506712494976675,559.8574442243962
regular_fixed_R,186,5.578716895114123,26.409441878525342,27.14136754418621,50.67697763149904,561.7448013590229
regular_fixed_R,187,5.6087099967007585,26.248988899020077,27.059377800188827,50.99626121503917,565.2840000562527
regular_fixed_R,188,5.638703098287394,25.981732094603444,26.973266941859293,51.66769825827851,572.726753868886
regular_fixed_R,189,5.668696199874029,25.684764198099828,27.154579335985915,52.23774664023398,579.045633369063
regular_fixed_R,190,5.698689301460663,25.473050961011694,27.14104381630588,52.887217195684265,586.2448927805632
regular_fixed_R,191,5.728682403047299,25.34107770865117,27.061082244431475,53.200151188608174,589.7137074555777
regular_fixed_R,192,5.758675504633934,25.256000357318158,27.003700105954522,53.401745233799666,591.9483396724933
regular_fixed_R,193,5.788668606220569,25.13202814453399,26.885357720455062,53.7174117862122,595.4474442574212
regular_fixed_R,194,5.8186617078072045,25.007681441362593,26.796065046068946,53.957497025488216,598.1087441484098
regular_fixed_R,195,5.848654809393839,24.95907251693231,26.745759426125545,54.04603383966922,599.0901581438678
regular_fixed_R,196,5.878647910980474,24.903743381996406,26.69606932332465,54.1304894114354,600.0263323318874
regular_fixed_R,197,5.908641012567109,24.850879747153783,26.6428746506964,54.202225045159835,600.8215083901346
regular_fixed_R,198,5.938634114153745,24.78494248276084,26.57380622758049,54.294236958465206,601.8414432082336
regular_fixed_R,199,5.96862721574038,24.720992549048134,26.502133830855342,54.349023128698825,602.44873763962
regular_fixed_R,200,5.998620317327014,24.69294709744858,26.356484673722036,54.50945729182303,604.2271202762237
regular_fixed_R,201,6.0286134189136495,24.668666516468875,26.181949753466313,54.75854785611153,606.9882425075873
regular_fixed_R,202,6.058606520500285,24.61002870010458,26.0414002329822,54.72245281031366,606.5881356882894
regular_fixed_R,203,6.08859962208692,24.516610022048866,25.85625790719945,54.84378115906085,607.9330377000433
regular_fixed_R,204,6.1185927236735544,24.3702865014385,25.766388283538504,54.96789019756821,609.3087631367521
regular_fixed_R,205,6.14858582526019,24.31822676205033,25.593890505059875,55.2569143814826,612.5125420590379
regular_fixed_R,206,6.178578926846825,24.341963130143682,25.530424484611842,55.44450049415146,614.5918989687005
regular_fixed_R,207,6.20857202843346,24.27241776894897,25.44319168361625,55.808551448430684,618.6273355822099
regular_fixed_R,208,6.2385651300200955,24.135412531814154,25.34522441994369,56.40036174265174,625.187441802175
regular_fixed_R,209,6.26855823160673,23.934826100801246,25.27871892411696,57.2662838355006,634.786025947758
regular_fixed_R,210,6.298551333193365,23.655997736730825,24.910481071728043,58.28192008170587,646.044163430349
regular_fixed_R,211,6.32854443478,23.528224508017843,24.704750294173323,58.758622352984396,651.3283187845607
regular_fixed_R,212,6.358537536366636,23.477690651036994,24.498009043907217,59.25940965143531,656.8794521520048
regular_fixed_R,213,6.388530637953271,23.38553937931036,24.348876293899792,59.38365895116487,658.25673235808
