metric,unit,adaptive_minus_regular_rmse,adaptive_minus_regular_mae,adaptive_minus_regular_bias,adaptive_minus_regular_max_abs
ANG,deg,0.17951186425806867,0.14990702982271145,0.14445058977500005,0.3490436259199612
PEN,deg,0.17951186425806867,0.14990702982271145,0.14445058977500005,0.3490436259199612
FL,mm,0.31148231800456266,0.26102109381524885,-0.24826883301950975,0.5357692577379325
