variant,frame,time_s,ANG_deg,PEN_deg,FL,FL_px
speckle_adaptive_R,0,0.0,17.499999999999943,19.328384403941925,75.83031382339634,840.5648198964249
speckle_adaptive_R,1,0.02999310158663507,17.50000606513882,19.32908541649232,75.8280458238384,840.5396795462954
speckle_adaptive_R,2,0.05998620317327014,17.499418580712188,19.329325633141963,75.82758290365211,840.5345481627709
speckle_adaptive_R,3,0.08997930475990522,17.495753119262247,19.327614790614547,75.83520613230488,840.619050223971
speckle_adaptive_R,4,0.11997240634654029,17.492056039533793,19.325188585935024,75.84501774311961,840.727810091385
speckle_adaptive_R,5,0.14996550793317537,17.486801110284205,19.320961266682758,75.85975701086707,840.8911921125698
speckle_adaptive_R,6,0.17995860951981044,17.48171627326613,19.316826399468,75.87432430099584,841.0526677940761
speckle_adaptive_R,7,0.2099517111064455,17.47635605435633,19.316904311221577,75.86711187613074,840.972719415887
speckle_adaptive_R,8,0.23994481269308057,17.472411158749253,19.31706208830832,75.86127360060799,840.9080032256742
speckle_adaptive_R,9,0.26993791427971564,17.47108573384679,19.315593245046784,75.86288958021527,840.925916056824
speckle_adaptive_R,10,0.29993101586635074,17.469558114359643,19.314058845177698,75.86664863389296,840.967584462482
speckle_adaptive_R,11,0.3299241174529858,17.467873216439216,19.312807866601787,75.8718114530506,841.0248133454522
speckle_adaptive_R,12,0.3599172190396209,17.466406258206263,19.310811658377446,75.88040185557988,841.1200363478479
speckle_adaptive_R,13,0.38991032062625597,17.464943727893967,19.308720370234568,75.88879827746267,841.2131091111246
speckle_adaptive_R,14,0.419903422212891,17.46430038234203,19.307731177278555,75.8927446666149,841.2568540954156
speckle_adaptive_R,15,0.4498965237995261,17.463436882311754,19.306376417233025,75.89847234489517,841.3203443359188
speckle_adaptive_R,16,0.47988962538616114,17.46312409739531,19.305357223825098,75.9030648257937,841.371251126155
speckle_adaptive_R,17,0.5098827269727962,17.460493767231867,19.304519334556687,75.90414663471365,841.3832427753268
speckle_adaptive_R,18,0.5398758285594313,17.458744331312175,19.30360149104621,75.90607830069072,841.4046549307334
