family,method,block_size,offset,offset_units,candidate_index,target,mean_iou,mean_dice,mean_mae,mean_target_density,mean_pred_density,mean_density_bias,mean_abs_density_bias,min_iou,min_dice
cv2,mean,71,0.0,uint8_C,104,fas_thres_raw_from_matlab_fas_filt,0.970378988516939,0.9849664776650978,0.006832359362275788,0.2238063953885635,0.2296955878382995,0.005889192449736032,0.005889192449736032,0.9690107270560191,0.9842615012106537
skimage,mean,71,0.0,float01_offset,214,fas_thres_raw_from_matlab_fas_filt,0.9565151952722759,0.9777734972782509,0.010107680089432833,0.2238063953885635,0.2314161393557117,0.007609743967148219,0.007609743967148219,0.953547898349441,0.9762216725324183
cv2,mean,61,0.0,uint8_C,93,fas_thres_raw_from_matlab_fas_filt,0.9500198587894104,0.9743679796851724,0.011635285644036259,0.2238063953885635,0.2312433561059976,0.007436960717434136,0.007436960717434136,0.9463427844762623,0.9724317751468551
skimage,mean,71,-0.0196078431372549,float01_offset,213,fas_thres_raw_from_matlab_fas_filt,0.9403750672967818,0.9692146314422866,0.013174932818960119,0.2238063953885635,0.21123746411317107,-0.012568931275392417,0.012568931275392417,0.9169704942679947,0.9566871237818866
skimage,mean,61,0.0,float01_offset,203,fas_thres_raw_from_matlab_fas_filt,0.940140963716742,0.969142394759332,0.014054251140033404,0.2238063953885635,0.23338116376939677,0.009574768380833324,0.009574768380833324,0.9315819382946985,0.964579259958444
cv2,mean,71,-5.0,uint8_C,103,fas_thres_raw_from_matlab_fas_filt,0.9368412674803746,0.9673219864074585,0.013939715728148378,0.2238063953885635,0.2100963105595489,-0.0137100848290146,0.0137100848290146,0.9106294425152628,0.9532245471067982
skimage,mean,61,-0.0196078431372549,float01_offset,202,fas_thres_raw_from_matlab_fas_filt,0.9302769873032007,0.9638318943149797,0.01557541582795381,0.2238063953885635,0.2123828182320213,-0.01142357715654218,0.01142357715654218,0.9085636046801095,0.9520915126455972
cv2,mean,61,-5.0,uint8_C,92,fas_thres_raw_from_matlab_fas_filt,0.9269854511325976,0.9620487947718657,0.016271309467401934,0.2238063953885635,0.21089665825433468,-0.01290973713422879,0.01290973713422879,0.9018914002342445,0.948415246131471
cv2,mean,51,0.0,uint8_C,82,fas_thres_raw_from_matlab_fas_filt,0.9209737877378501,0.9588534037778076,0.0187460024620913,0.2238063953885635,0.23360071331198323,0.00979431792341977,0.00979431792341977,0.9113802135331635,0.9536357100280828
skimage,mean,51,-0.0196078431372549,float01_offset,191,fas_thres_raw_from_matlab_fas_filt,0.9144162774572288,0.9552452003642675,0.01939120928112087,0.2238063953885635,0.21415881721044383,-0.009647578178119651,0.009647578178119651,0.8919125064586768,0.9428686616467039
skimage,mean,51,0.0,float01_offset,192,fas_thres_raw_from_matlab_fas_filt,0.9136686717959288,0.95486995350975,0.020658099753902884,0.2238063953885635,0.23634340236822268,0.012537006979659185,0.012537006979659185,0.8983992423542456,0.9464808269098564
cv2,mean,51,-5.0,uint8_C,81,fas_thres_raw_from_matlab_fas_filt,0.9108689277032417,0.9532945572728226,0.020137509703305675,0.2238063953885635,0.21232765080869284,-0.011478744579870671,0.011478744579870671,0.8856191826419282,0.9393404466760814
skimage,gaussian,71,-0.0196078431372549,float01_offset,158,fas_thres_raw_from_matlab_fas_filt,0.8954800729304286,0.944809222150295,0.023987467753660934,0.2238063953885635,0.2146407620609429,-0.009165633327620567,0.009165633327620567,0.8742668308802907,0.9329160784109614
skimage,mean,41,-0.0196078431372549,float01_offset,180,fas_thres_raw_from_matlab_fas_filt,0.8933095363345388,0.9436001760538352,0.024599350088547915,0.2238063953885635,0.2160815559341665,-0.007724839454396985,0.007724839454396985,0.8722815197989144,0.931784574675072
cv2,mean,41,-5.0,uint8_C,70,fas_thres_raw_from_matlab_fas_filt,0.8910015083645398,0.9423031061098305,0.025026687591082255,0.2238063953885635,0.21388382020684704,-0.009922575181716456,0.009922575181716456,0.8681005157467354,0.9293937969924813
cv2,mean,41,0.0,uint8_C,71,fas_thres_raw_from_matlab_fas_filt,0.8886391001359647,0.9410148042022394,0.02703287754400232,0.2238063953885635,0.2366077579399084,0.012801362551344906,0.012801362551344906,0.875302233375732,0.9335052428323516
cv2,gaussian,71,-5.0,uint8_C,48,fas_thres_raw_from_matlab_fas_filt,0.8878994184302984,0.9405631835359642,0.025711099685573686,0.2238063953885635,0.21266677644143794,-0.011139618947125526,0.011139618947125526,0.8648259186439851,0.9275138338626764
skimage,gaussian,71,0.0,float01_offset,159,fas_thres_raw_from_matlab_fas_filt,0.8837023832666151,0.9382217424640573,0.02838433939670922,0.2238063953885635,0.23834735201968776,0.014540956631124279,0.014540956631124279,0.861519538699376,0.9256089133518421
cv2,gaussian,71,0.0,uint8_C,49,fas_thres_raw_from_matlab_fas_filt,0.883665980823134,0.938214684381944,0.028252161610866362,0.2238063953885635,0.2356679514795511,0.011861556090987598,0.011861556090987598,0.8661729580233368,0.9282879749161013
skimage,gaussian,61,-0.0196078431372549,float01_offset,147,fas_thres_raw_from_matlab_fas_filt,0.8817855365574463,0.9371307460498897,0.027416249130483,0.2238063953885635,0.21565169809249532,-0.008154697296068165,0.008154697296068165,0.8607169619763592,0.9251454998960715
skimage,mean,41,0.0,float01_offset,181,fas_thres_raw_from_matlab_fas_filt,0.8804484880745689,0.9363815527570883,0.02933646751506883,0.2238063953885635,0.24004774082400526,0.016241345435441795,0.016241345435441795,0.8594030319339792,0.9243859638543319
cv2,gaussian,61,-5.0,uint8_C,37,fas_thres_raw_from_matlab_fas_filt,0.8752670383687113,0.9334283120432784,0.02887328518925507,0.2238063953885635,0.21336967102293286,-0.010436724365630638,0.010436724365630638,0.8531023446403025,0.9207287952634851
skimage,mean,61,-0.0392156862745098,float01_offset,201,fas_thres_raw_from_matlab_fas_filt,0.8712157908308468,0.9309989990494559,0.02856496370151567,0.2238063953885635,0.19606082194420082,-0.027745573444362678,0.027745573444362678,0.8312216741367654,0.907832935658761
