target,family,method,block_size,offset,offset_units,mean_iou,mean_dice,mean_mae,mean_density_bias,mean_abs_density_bias,min_iou,min_dice,choice
apo_thres_from_raw_red_channel,cv2,mean,71,0.0,uint8_C,0.927915265468246,0.9626066700167767,0.02334086074622201,0.02190930811650016,0.02190930811650016,0.924064303125675,0.9605337011081354,best_raw_apo
fas_thres_raw_from_matlab_fas_filt,cv2,mean,71,0.0,uint8_C,0.970378988516939,0.9849664776650978,0.006832359362275788,0.005889192449736032,0.005889192449736032,0.9690107270560191,0.9842615012106537,best_frangi
apo_thres_from_raw_red_channel,cv2,gaussian,51,0.0,uint8_C,0.7198018255745564,0.8370416965335614,0.10377972459974213,0.035477973916170163,0.035477973916170163,0.7003869854049197,0.8237971607835306,baseline_raw_cv2_gaussian_51_C0
fas_thres_raw_from_matlab_fas_filt,cv2,gaussian,51,0.0,uint8_C,0.8406121981521503,0.9133507122853781,0.04002186534220045,0.016549666923181182,0.016549666923181182,0.8168260248378942,0.8991791329175564,baseline_frangi_cv2_gaussian_51_C0
