frame,time_s,success,klt_dx,klt_dy,klt_n_points,klt_affine_used,fascicle_length_px,fascicle_angle_deg,deep_apo_angle_deg,pennation_angle_deg,error
0,0.0,True,,,0,False,805.5336303710938,18.434947967529297,-1.832061767578125,20.267009735107422,
1,0.029993101954460144,True,-0.0429670587182045,0.0047796121798455715,150,True,805.5460815429688,18.43035888671875,-1.836669921875,20.26702880859375,
2,0.05998620390892029,True,-0.011356684379279613,-0.0005699411849491298,150,True,805.5764770507812,18.428253173828125,-1.8387908935546875,20.267044067382812,
3,0.08997930586338043,True,-0.022854283452033997,-0.0013383738696575165,150,True,805.489990234375,18.426374435424805,-1.840667724609375,20.26704216003418,
4,0.11997240781784058,True,0.011299565434455872,-0.005812594201415777,150,True,805.4915771484375,18.423227310180664,-1.8437957763671875,20.26702308654785,
5,0.14996550977230072,True,-0.0018181736813858151,0.0025614292826503515,150,True,805.4577026367188,18.419095993041992,-1.8479461669921875,20.26704216003418,
6,0.17995861172676086,True,0.008247044868767262,0.00092598597984761,150,True,805.4450073242188,18.41558837890625,-1.8514556884765625,20.267044067382812,
7,0.209951713681221,True,0.014699668623507023,-0.013927873224020004,150,True,805.4315795898438,18.41062355041504,-1.8563995361328125,20.26702308654785,
8,0.23994481563568115,True,0.030706442892551422,-0.009096113964915276,150,True,805.4364013671875,18.405254364013672,-1.8617706298828125,20.267024993896484,
9,0.2699379026889801,True,0.005539983045309782,-0.019352715462446213,150,True,805.4534301757812,18.404869079589844,-1.8621673583984375,20.26703643798828,
10,0.29993101954460144,True,0.016880886629223824,-0.01114629115909338,150,True,805.4832763671875,18.403173446655273,-1.863861083984375,20.26703453063965,
11,0.3299241065979004,True,0.010506922379136086,-0.006324984133243561,150,True,805.4828491210938,18.40024757385254,-1.8668060302734375,20.267053604125977,
12,0.35991722345352173,True,0.015597584657371044,-0.004459063056856394,150,True,805.4779663085938,18.400821685791016,-1.8662109375,20.267032623291016,
13,0.3899103105068207,True,-0.018354009836912155,-0.004605197813361883,150,True,805.4566650390625,18.398225784301758,-1.8688201904296875,20.267045974731445,
14,0.419903427362442,True,0.01509274821728468,-0.005119724199175835,150,True,805.4589233398438,18.399675369262695,-1.8673858642578125,20.267061233520508,
15,0.44989651441574097,True,-0.007015088573098183,-0.0015779177192598581,150,True,805.4757080078125,18.397912979125977,-1.8691558837890625,20.26706886291504,
16,0.4798896312713623,True,-0.006197624374181032,0.0013189506717026234,150,True,805.4478149414062,18.39762306213379,-1.8694305419921875,20.267053604125977,
17,0.5098827481269836,True,-0.010671233758330345,0.0016650644829496741,150,True,805.4465942382812,18.396486282348633,-1.8705902099609375,20.26707649230957,
18,0.5398758053779602,True,-0.0017983118304982781,-0.00660617183893919,150,True,805.4835205078125,18.394893646240234,-1.8721923828125,20.267086029052734,
19,0.5698689222335815,True,-0.002649586880579591,-0.0011623192112892866,150,True,805.4647827148438,18.393606185913086,-1.8734588623046875,20.267065048217773,
20,0.5998620390892029,True,-0.003775354940444231,-0.0014256159774959087,150,True,805.46923828125,18.393875122070312,-1.873199462890625,20.267074584960938,
21,0.6298551559448242,True,0.00010747274063760415,-0.0030373381450772285,150,True,805.469482421875,18.393184661865234,-1.8738861083984375,20.267070770263672,
22,0.6598482131958008,True,-0.004332568030804396,0.00038445155951194465,150,True,805.4655151367188,18.392425537109375,-1.8746490478515625,20.267074584960938,
23,0.6898413300514221,True,-0.010291709564626217,-0.0011733373394235969,150,True,805.4685668945312,18.390628814697266,-1.876434326171875,20.26706314086914,
24,0.7198344469070435,True,-0.00015607198292855173,0.00576986325904727,150,True,805.4691772460938,18.39008903503418,-1.8769683837890625,20.267057418823242,
25,0.7498275637626648,True,-0.030468469485640526,-0.005020936485379934,150,True,805.4485473632812,18.392057418823242,-1.8750152587890625,20.267072677612305,
26,0.7798206210136414,True,-0.038870543241500854,0.004052359145134687,150,True,805.4013671875,18.398176193237305,-1.868896484375,20.267072677612305,
27,0.8098137378692627,True,-0.09219182282686234,0.0226681400090456,150,True,805.397216796875,18.407535552978516,-1.859527587890625,20.26706314086914,
28,0.839806854724884,True,-0.053444646298885345,0.01590302772819996,150,True,805.3654174804688,18.409269332885742,-1.8577880859375,20.267057418823242,
29,0.8697999715805054,True,-0.002616272075101733,0.015748614445328712,150,True,805.3632202148438,18.40827751159668,-1.8587799072265625,20.267057418823242,
30,0.8997930288314819,True,0.008776131086051464,0.0046175383031368256,150,True,805.4163818359375,18.408061981201172,-1.858978271484375,20.267040252685547,
31,0.9297861456871033,True,-0.0012232717126607895,0.009872754104435444,150,True,805.4330444335938,18.410799026489258,-1.856231689453125,20.267030715942383,
32,0.9597792625427246,True,-0.03642536327242851,-0.017395973205566406,150,True,805.4080810546875,18.415082931518555,-1.8519439697265625,20.267026901245117,
33,0.989772379398346,True,-0.04650302976369858,-0.01835648901760578,150,True,805.450927734375,18.416765213012695,-1.850250244140625,20.26701545715332,
34,1.0197654962539673,True,-0.0074960580095648766,0.043624501675367355,150,True,805.5664672851562,18.413476943969727,-1.853546142578125,20.26702308654785,
35,1.0497585535049438,True,-0.0458185076713562,0.0002283732028445229,150,True,805.6119384765625,18.41126251220703,-1.855743408203125,20.267005920410156,
36,1.0797516107559204,True,-0.05568791553378105,-0.010655371472239494,150,True,805.551025390625,18.411270141601562,-1.8557281494140625,20.266998291015625,
37,1.1097447872161865,True,-0.06775467097759247,0.009254691191017628,150,True,805.5661010742188,18.40264320373535,-1.8643646240234375,20.26700782775879,
38,1.139737844467163,True,-0.07444518059492111,0.04539123550057411,150,True,805.52880859375,18.3928279876709,-1.8741607666015625,20.26698875427246,
39,1.1697310209274292,True,0.34987321496009827,0.08742593973875046,149,True,806.1697387695312,18.333145141601562,-1.9338531494140625,20.266998291015625,
40,1.1997240781784058,True,2.3606746196746826,-0.5692954063415527,148,True,808.1824951171875,18.625892639160156,-1.6410980224609375,20.266990661621094,
41,1.2297171354293823,True,3.2149462699890137,-0.8164717555046082,146,True,800.8985595703125,18.59049415588379,-1.676513671875,20.26700782775879,
42,1.2597103118896484,True,3.379065990447998,-1.223917841911316,146,True,800.2667846679688,18.62408447265625,-1.642913818359375,20.266998291015625,
43,1.289703369140625,True,3.3310537338256836,-0.5671172738075256,146,True,801.0180053710938,18.657766342163086,-1.6092376708984375,20.267004013061523,
44,1.3196964263916016,True,2.9767813682556152,-0.6379803419113159,146,True,797.8741455078125,18.43268394470215,-1.834320068359375,20.267004013061523,
45,1.3496896028518677,True,3.345259189605713,-0.8150005340576172,146,True,796.4114379882812,18.29448890686035,-1.9725341796875,20.26702308654785,
46,1.3796826601028442,True,3.0395753383636475,-0.5660950541496277,146,True,798.0048217773438,18.32565689086914,-1.9413604736328125,20.267017364501953,
47,1.4096757173538208,True,2.708080530166626,-0.2600538730621338,145,True,799.50927734375,18.392963409423828,-1.8740692138671875,20.267032623291016,
48,1.439668893814087,True,2.980333089828491,-0.11175000667572021,145,True,800.5336303710938,18.380828857421875,-1.88623046875,20.267059326171875,
49,1.4696619510650635,True,2.622783899307251,-0.04007427766919136,145,True,801.00146484375,18.353309631347656,-1.91375732421875,20.267066955566406,
50,1.4996551275253296,True,2.179680109024048,-0.12274149060249329,145,True,801.572265625,18.35076332092285,-1.9163055419921875,20.26706886291504,
51,1.5296481847763062,True,1.6696898937225342,-0.2086976021528244,145,True,801.4769287109375,18.315000534057617,-1.9520416259765625,20.26704216003418,
52,1.5596412420272827,True,1.43059504032135,-0.09111042320728302,145,True,801.374267578125,18.298288345336914,-1.96875,20.267038345336914,
53,1.5896344184875488,True,1.445261836051941,-0.0972132682800293,144,True,800.8182373046875,18.239294052124023,-2.027740478515625,20.26703453063965,
54,1.6196274757385254,True,1.3694905042648315,-0.011387109756469727,144,True,800.2816772460938,18.19504737854004,-2.0719757080078125,20.26702308654785,
55,1.649620532989502,True,1.4115508794784546,0.10879823565483093,144,True,800.0820922851562,18.162731170654297,-2.1042938232421875,20.267024993896484,
56,1.679613709449768,True,1.6754153966903687,0.0707203820347786,143,True,799.4990844726562,18.137420654296875,-2.129608154296875,20.26702880859375,
57,1.7096067667007446,True,1.5472538471221924,0.029172757640480995,143,True,799.2674560546875,18.096317291259766,-2.1707305908203125,20.267047882080078,
58,1.7395999431610107,True,1.2242364883422852,0.13223059475421906,143,True,798.9620971679688,18.0636043548584,-2.20343017578125,20.26703453063965,
