frame,time_s,success,kalman_length_px,kalman_pennation_angle_deg,kalman_angle_uncertainty,kalman_length_uncertainty,used_timtrack_measurement,used_klt_prediction,timtrack_length_px,timtrack_pennation_angle_deg,klt_length_px,klt_pennation_angle_deg,error
0,0.0,True,805.5336303710938,20.267009735107422,100.0,100.0,True,False,805.5336303710938,20.267009735107422,805.5336303710938,20.267009735107422,
1,0.029993101954460144,True,806.8640747070312,20.216236114501953,3.8462905883789062,3.8462905883789062,True,True,806.917236328125,20.21401596069336,805.5460815429688,20.26702880859375,
2,0.05998620390892029,True,806.4216918945312,20.24595069885254,1.986303687095642,1.986303687095642,True,True,805.9719848632812,20.276653289794922,805.5764770507812,20.267044067382812,
3,0.08997930586338043,True,797.1224975585938,20.493255615234375,1.4074676036834717,1.4074676036834717,True,True,780.0106201171875,20.95125389099121,805.489990234375,20.26704216003418,
4,0.11997240781784058,True,799.1973876953125,20.4295711517334,1.1790143251419067,1.1790143251419067,True,True,805.5740356445312,20.29110336303711,805.4915771484375,20.26702308654785,
5,0.14996550977230072,True,795.6817016601562,20.527551651000977,1.0946844816207886,1.0946844816207886,True,True,787.1818237304688,20.780797958374023,805.4577026367188,20.26704216003418,
6,0.17995861172676086,True,797.876708984375,20.460966110229492,1.0723590850830078,1.0723590850830078,True,True,805.9021606445312,20.276653289794922,805.4450073242188,20.267044067382812,
7,0.209951713681221,True,799.6515502929688,20.401439666748047,1.0705125331878662,1.0705125331878662,True,True,805.3353271484375,20.276653289794922,805.4315795898438,20.26702308654785,
8,0.23994481563568115,True,796.3363037109375,20.49225425720215,1.0685620307922363,1.0685620307922363,True,True,787.1915283203125,20.766347885131836,805.4364013671875,20.267024993896484,
9,0.2699379026889801,True,798.1869506835938,20.432445526123047,1.0584731101989746,1.0584731101989746,True,True,804.6767578125,20.320018768310547,805.4534301757812,20.26703643798828,
10,0.29993101954460144,True,785.3240356445312,20.797138214111328,1.0390336513519287,1.0390336513519287,True,True,749.0916748046875,21.868175506591797,805.4832763671875,20.26703453063965,
11,0.3299241065979004,True,783.5966796875,20.807172775268555,1.0119755268096924,1.0119755268096924,True,True,784.0262451171875,20.855478286743164,805.4828491210938,20.267053604125977,
12,0.35991722345352173,True,787.0987548828125,20.696277618408203,0.9797912836074829,0.9797912836074829,True,True,803.610107421875,20.36819076538086,805.4779663085938,20.267032623291016,
13,0.3899103105068207,True,790.3309936523438,20.6073055267334,0.9447545409202576,0.9447545409202576,True,True,804.7183227539062,20.334468841552734,805.4566650390625,20.267045974731445,
14,0.419903427362442,True,787.8931884765625,20.6755428314209,0.9086146950721741,0.9086146950721741,True,True,782.0503540039062,20.925127029418945,805.4589233398438,20.267061233520508,
15,0.44989651441574097,True,780.3820190429688,20.882938385009766,0.8725927472114563,0.8725927472114563,True,True,756.6881103515625,21.631906509399414,805.4757080078125,20.26706886291504,
16,0.4798896312713623,True,781.5463256835938,20.831899642944336,0.837480902671814,0.837480902671814,True,True,791.7993774414062,20.634187698364258,805.4478149414062,20.267053604125977,
17,0.5098827481269836,True,781.3363647460938,20.828771591186523,0.8037564158439636,0.8037564158439636,True,True,785.6669921875,20.80971336364746,805.4465942382812,20.26707649230957,
18,0.5398758053779602,True,784.9037475585938,20.725292205810547,0.7716779708862305,0.7716779708862305,True,True,804.8627319335938,20.320018768310547,805.4835205078125,20.267086029052734,
19,0.5698689222335815,True,787.9342651367188,20.65191078186035,0.7413588166236877,0.7413588166236877,True,True,804.8031616210938,20.334468841552734,805.4647827148438,20.267065048217773,
20,0.5998620390892029,True,790.5206298828125,20.591594696044922,0.7128189206123352,0.7128189206123352,True,True,804.7748413085938,20.320018768310547,805.46923828125,20.267074584960938,
21,0.6298551559448242,True,792.5624389648438,20.550762176513672,0.6860201358795166,0.6860201358795166,True,True,803.74365234375,20.36819076538086,805.469482421875,20.267070770263672,
22,0.6598482131958008,True,794.4058227539062,20.520917892456055,0.660890519618988,0.660890519618988,True,True,804.2608032226562,20.36819076538086,805.4655151367188,20.267074584960938,
23,0.6898413300514221,True,795.9198608398438,20.49559783935547,0.6373395919799805,0.6373395919799805,True,True,803.7703857421875,20.36819076538086,805.4685668945312,20.26706314086914,
24,0.7198344469070435,True,797.2448120117188,20.478660583496094,0.6152686476707458,0.6152686476707458,True,True,803.8546752929688,20.353740692138672,805.4691772460938,20.267057418823242,
25,0.7498275637626648,True,798.3656005859375,20.4558162689209,0.5945770740509033,0.5945770740509033,True,True,803.6463623046875,20.353740692138672,805.4485473632812,20.267072677612305,
26,0.7798206210136414,True,797.3604125976562,20.495803833007812,0.5751662850379944,0.5751662850379944,True,True,789.8607788085938,20.709779739379883,805.4013671875,20.267072677612305,
27,0.8098137378692627,True,795.8651123046875,20.559356689453125,0.5569418668746948,0.5569418668746948,True,True,785.5,20.81211280822754,805.397216796875,20.26706314086914,
28,0.839806854724884,True,795.1611328125,20.593351364135742,0.5398150086402893,0.5398150086402893,True,True,790.0850219726562,20.709312438964844,805.3654174804688,20.267057418823242,
29,0.8697999715805054,True,791.3123168945312,20.709815979003906,0.5237030386924744,0.5237030386924744,True,True,765.4632568359375,21.378358840942383,805.3632202148438,20.267057418823242,
