frame,time_s,success,ANG_deg,PEN_deg,FL_px,FL_mm,fascicle_angle_deg,pennation_angle_deg,fascicle_length_px,final_fascicle_length_px,super_apo_angle_deg,deep_apo_angle_deg,muscle_thickness_px,selected_line_angle_deg,selected_line_length_px,dohough_mask_density,dohough_n_peaks,n_fascicle_candidates,error
0,0.0,True,12.0,11.499999824627537,2290.9047216824006,nan,12.0,11.499999824627537,2290.9047216824006,2290.9047216824006,0.500000175372463,-7.0439787030562115,456.7329354371306,11.84207534790039,1783.819580078125,0.14047831518829199,10,114,
1,0.09090909090909091,True,12.0,11.500000813538891,2300.5568851980925,nan,12.0,11.500000813538891,2300.5568851980925,2300.5568851980925,0.49999918646110947,-6.817770031423265,458.65730622088745,11.138559341430664,1885.5264892578125,0.1416384079957166,10,112,
2,0.18181818181818182,True,12.0,11.499999824627537,2309.082589076446,nan,12.0,11.499999824627537,2309.082589076446,2309.082589076446,0.500000175372463,-6.654440908521934,460.35701925706877,11.780523300170898,1820.7686767578125,0.13935391754417276,10,95,
3,0.2727272727272727,True,12.0,11.499999824627537,2393.599204326843,nan,12.0,11.499999824627537,2393.599204326843,2393.599204326843,0.500000175372463,0.12931049197399105,477.20692200997604,13.856350898742676,2037.5364990234375,0.1417633410672854,10,89,
4,0.36363636363636365,True,12.0,11.500000813538891,2275.0445216498756,nan,12.0,11.500000813538891,2275.0445216498756,2275.0445216498756,0.49999918646110947,-8.044819448282908,453.5709586432028,12.01147747039795,1993.440185546875,0.14412814563626627,10,96,
5,0.45454545454545453,True,12.0,11.500000813538891,2393.8019758137234,nan,12.0,11.500000813538891,2393.8019758137234,2393.8019758137234,0.49999918646110947,0.10528943005685137,477.2473886288716,-32.868682861328125,876.11572265625,0.1446457255041942,10,97,
6,0.5454545454545454,True,12.0,11.499999824627537,2380.6713792667415,nan,12.0,11.499999824627537,2380.6713792667415,2380.6713792667415,0.500000175372463,-0.2588045647441959,474.62952827001214,14.91031265258789,1881.5203857421875,0.1422452257719079,10,128,
7,0.6363636363636364,True,12.0,11.500000813538891,2379.5134846076476,nan,12.0,11.500000813538891,2379.5134846076476,2379.5134846076476,0.49999918646110947,-0.35379314734316836,474.39872145236956,11.082569122314453,2467.135009765625,0.14172764590398002,10,102,
8,0.7272727272727273,True,12.0,11.499999824627537,2365.893034086299,nan,12.0,11.499999824627537,2365.893034086299,2365.893034086299,0.500000175372463,-0.7175022836005667,471.6832001616089,10.864059448242188,2455.42333984375,0.14107620917365696,10,110,
9,0.8181818181818182,True,12.0,11.499999824627537,2367.7118269167886,nan,12.0,11.499999824627537,2367.7118269167886,2367.7118269167886,0.500000175372463,-0.677963269574775,472.0458091259012,10.154265403747559,2626.509033203125,0.14115652329109404,10,90,
10,0.9090909090909091,True,12.0,11.499999824627537,2313.897198911502,nan,12.0,11.499999824627537,2313.897198911502,2313.897198911502,0.500000175372463,-2.8634396972373963,461.31689806046785,-43.36341857910156,710.7034912109375,0.1410851329644833,10,114,
11,1.0,True,12.0,11.499999824627537,2315.7598072731043,nan,12.0,11.499999824627537,2315.7598072731043,2315.7598072731043,0.500000175372463,-2.7926342924364462,461.68824243656206,14.995078086853027,1759.6732177734375,0.14032661074424416,10,106,
12,1.0909090909090908,True,12.0,11.499999824627537,2323.620889926662,nan,12.0,11.499999824627537,2323.620889926662,2323.620889926662,0.500000175372463,-2.587195751299845,463.2554902239063,10.045330047607422,2379.68701171875,0.14038015348920221,10,102,
13,1.1818181818181819,True,12.0,11.499999824627537,2316.519923695299,nan,12.0,11.499999824627537,2316.519923695299,2316.519923695299,0.500000175372463,-2.784886797821372,461.83978527529166,16.733592987060547,1528.3197021484375,0.13962163126896304,10,105,
14,1.2727272727272727,True,12.0,11.499999824627537,2377.7341926294475,nan,12.0,11.499999824627537,2377.7341926294475,2377.7341926294475,0.500000175372463,-0.37709787207415957,474.0439474459468,11.198026657104492,2437.4599609375,0.14004104943780118,10,110,
15,1.3636363636363635,True,12.0,11.499999824627537,2375.246627340774,nan,12.0,11.499999824627537,2375.246627340774,2375.246627340774,0.500000175372463,-0.5120037297599254,473.5480067000772,-35.134185791015625,832.3326416015625,0.14146885597001607,10,112,
