frame,time_s,success,utt_x_sup,utt_y_sup,utt_fascicle_angle_deg,utt_fascicle_length_px,utt_pennation_angle_deg,utt_deep_apo_angle_deg,used_timtrack_measurement,used_klt_prediction,unc_x_sup,unc_y_sup,unc_angle,unc_length,innovation_norm,timtrack_length_px,timtrack_pennation_angle_deg,klt_length_px,klt_pennation_angle_deg,error
0,0.0,True,715.6046142578125,52.79844665527344,18.434951782226562,805.5336303710938,20.267013549804688,-1.832061767578125,True,True,1000.0,1000.0,1000.0,1000.0,,805.5336303710938,20.267009735107422,805.5336303710938,20.267009735107422,
1,0.029993101954460144,True,715.6036376953125,52.79915237426758,18.434932708740234,806.7926025390625,20.214000701904297,-1.7790679931640625,True,True,90.9091796875,24.39025115966797,3.9840638637542725,90.9091796875,1.3715120553970337,806.917236328125,20.21401596069336,805.5460815429688,20.26702880859375,
2,0.05998620390892029,True,716.9365234375,52.847347259521484,18.431608200073242,805.7648315429688,20.273313522338867,-1.841705322265625,True,True,47.62181854248047,12.348241806030273,1.9985148906707764,47.62181854248047,2.817617177963257,805.9719848632812,20.276653289794922,805.5764770507812,20.267044067382812,
3,0.08997930586338043,True,709.3818969726562,52.69192123413086,18.662803649902344,797.2693481445312,20.48041534423828,-1.8176116943359375,True,True,32.26392364501953,8.27009105682373,1.337112307548523,32.26392364501953,31.879215240478516,780.0106201171875,20.95125389099121,805.489990234375,20.26704216003418,
4,0.11997240781784058,True,718.3169555664062,52.93398666381836,18.426185607910156,805.51171875,20.28234100341797,-1.8561553955078125,True,True,24.399309158325195,6.220003128051758,1.0077307224273682,24.399309158325195,11.191449165344238,805.5740356445312,20.29110336303711,805.4915771484375,20.26702308654785,
5,0.14996550977230072,True,711.5783081054688,52.7697868347168,18.521650314331055,801.8719482421875,20.377805709838867,-1.8561553955078125,True,True,19.620162963867188,4.987194061279297,0.8113076686859131,19.620162963867188,27.452835083007812,787.1818237304688,20.780797958374023,805.4577026367188,20.26704216003418,
6,0.17995861172676086,True,715.8518676757812,52.90680694580078,18.418899536132812,805.52001953125,20.260604858398438,-1.841705322265625,True,True,16.409042358398438,4.164718151092529,0.6813981533050537,16.409042358398438,1.5411542654037476,805.9021606445312,20.276653289794922,805.4450073242188,20.267044067382812,
7,0.209951713681221,True,715.6460571289062,52.95560073852539,18.414213180541992,805.4180297851562,20.255918502807617,-1.841705322265625,True,True,14.103399276733398,3.5773425102233887,0.5895028710365295,14.103399276733398,0.21403050422668457,805.3353271484375,20.276653289794922,805.4315795898438,20.26702308654785,
8,0.23994481563568115,True,713.17041015625,52.89476013183594,18.47295570373535,803.1798706054688,20.314661026000977,-1.841705322265625,True,True,12.36787223815918,3.1371772289276123,0.5213631987571716,12.36787223815918,27.52684211730957,787.1915283203125,20.766347885131836,805.4364013671875,20.267024993896484,
9,0.2699379026889801,True,715.6719970703125,52.93891525268555,18.408403396606445,805.3678588867188,20.293474197387695,-1.88507080078125,True,True,11.014511108398438,2.7952866554260254,0.4690537452697754,11.014511108398438,1.0209929943084717,804.6767578125,20.320018768310547,805.4534301757812,20.26703643798828,
