frame,time_s,success,fascicle_length_px,fascicle_angle_deg,deep_apo_angle_deg,pennation_angle_deg,n_fascicle_candidates,error
0,0.0,True,805.5336303710938,18.434947967529297,-1.832061767578125,20.267009735107422,90,
1,0.02999310158663507,True,806.917236328125,18.434947967529297,-1.7790679931640625,20.21401596069336,100,
2,0.05998620317327014,True,805.9719848632812,18.434947967529297,-1.841705322265625,20.276653289794922,130,
3,0.08997930475990522,True,780.0106201171875,19.133642196655273,-1.8176116943359375,20.95125389099121,86,
4,0.11997240634654029,True,805.5740356445312,18.434947967529297,-1.8561553955078125,20.29110336303711,96,
5,0.14996550793317537,True,787.1818237304688,18.92464256286621,-1.8561553955078125,20.780797958374023,102,
6,0.17995860951981044,True,805.9021606445312,18.434947967529297,-1.841705322265625,20.276653289794922,102,
7,0.2099517111064455,True,805.3353271484375,18.434947967529297,-1.841705322265625,20.276653289794922,114,
8,0.23994481269308057,True,787.1915283203125,18.92464256286621,-1.841705322265625,20.766347885131836,119,
9,0.26993791427971564,True,804.6767578125,18.434947967529297,-1.88507080078125,20.320018768310547,104,
10,0.29993101586635074,True,749.0916748046875,19.983104705810547,-1.88507080078125,21.868175506591797,101,
11,0.3299241174529858,True,784.0262451171875,18.970407485961914,-1.88507080078125,20.855478286743164,98,
12,0.3599172190396209,True,803.610107421875,18.434947967529297,-1.9332427978515625,20.36819076538086,110,
13,0.38991032062625597,True,804.7183227539062,18.434947967529297,-1.8995208740234375,20.334468841552734,100,
14,0.419903422212891,True,782.0503540039062,19.025606155395508,-1.8995208740234375,20.925127029418945,104,
15,0.4498965237995261,True,756.6881103515625,19.746835708618164,-1.88507080078125,21.631906509399414,91,
16,0.47988962538616114,True,791.7993774414062,18.778032302856445,-1.8561553955078125,20.634187698364258,139,
17,0.5098827269727962,True,785.6669921875,18.92464256286621,-1.88507080078125,20.80971336364746,80,
18,0.5398758285594313,True,804.8627319335938,18.434947967529297,-1.88507080078125,20.320018768310547,106,
19,0.5698689301460664,True,804.8031616210938,18.434947967529297,-1.8995208740234375,20.334468841552734,110,
20,0.5998620317327015,True,804.7748413085938,18.434947967529297,-1.88507080078125,20.320018768310547,127,
21,0.6298551333193365,True,803.74365234375,18.434947967529297,-1.9332427978515625,20.36819076538086,133,
22,0.6598482349059716,True,804.2608032226562,18.434947967529297,-1.9332427978515625,20.36819076538086,98,
23,0.6898413364926067,True,803.7703857421875,18.434947967529297,-1.9332427978515625,20.36819076538086,84,
24,0.7198344380792417,True,803.8546752929688,18.434947967529297,-1.918792724609375,20.353740692138672,107,
25,0.7498275396658768,True,803.6463623046875,18.434947967529297,-1.918792724609375,20.353740692138672,93,
26,0.7798206412525119,True,789.8607788085938,18.824708938598633,-1.88507080078125,20.709779739379883,98,
27,0.809813742839147,True,785.5,18.970407485961914,-1.841705322265625,20.81211280822754,105,
28,0.839806844425782,True,790.0850219726562,18.85315704345703,-1.8561553955078125,20.709312438964844,108,
29,0.8697999460124172,True,765.4632568359375,19.536653518676758,-1.841705322265625,21.378358840942383,125,
30,0.8997930475990522,True,805.893798828125,18.434947967529297,-1.8561553955078125,20.29110336303711,107,
31,0.9297861491856872,True,789.96435546875,18.85315704345703,-1.841705322265625,20.694862365722656,106,
32,0.9597792507723223,True,781.3297729492188,19.093490600585938,-1.841705322265625,20.935195922851562,116,
33,0.9897723523589574,True,792.941162109375,18.778032302856445,-1.841705322265625,20.61973762512207,111,
34,1.0197654539455925,True,791.5951538085938,18.799884796142578,-1.87542724609375,20.675312042236328,101,
35,1.0497585555322275,True,805.1671752929688,18.434947967529297,-1.87542724609375,20.310375213623047,130,
36,1.0797516571188626,True,804.7894897460938,18.434947967529297,-1.841705322265625,20.276653289794922,106,
37,1.1097447587054976,True,792.734619140625,18.778032302856445,-1.841705322265625,20.61973762512207,116,
38,1.1397378602921329,True,792.4287109375,18.778032302856445,-1.87542724609375,20.653459548950195,140,
39,1.169730961878768,True,785.7017822265625,18.92464256286621,-1.8609771728515625,20.785619735717773,133,
40,1.199724063465403,True,787.0535888671875,18.92464256286621,-1.61041259765625,20.53505516052246,207,
41,1.229717165052038,True,789.6834716796875,18.970407485961914,-1.2633819580078125,20.233789443969727,98,
