variant,x_source,alpha_source,apo_source,fixed_y_source,end_x_sup_bias,end_x_sup_mae,end_x_sup_rmse,end_y_sup_bias,end_y_sup_mae,end_y_sup_rmse,end_x_deep_bias,end_x_deep_mae,end_x_deep_rmse,end_y_deep_bias,end_y_deep_mae,end_y_deep_rmse,FL_bias,FL_mae,FL_rmse,ANG_bias,ANG_mae,ANG_rmse
baseline_py_x_py_alpha_py_apo,"python_smoothed_X_plus[:,0]","python_smoothed_X_plus[:,1]",python_apo_lines,python_klt_frame0_y,1.0848373096059158,4.864974075992099,5.948635119705359,0.9185156678510692,0.9380709522028949,1.0383835075916512,23.61367177055711,24.195752424282798,25.801036712323935,1.0313676903915754,1.0701958460417904,1.2580178234855532,-1.808791611010859,1.9281208748226457,2.0116571332303375,1.0340192333774492,1.0738455265339377,1.1661089520096855
matlab_x_py_alpha_py_apo,"matlab_X_plus[:,0]","python_smoothed_X_plus[:,1]",python_apo_lines,python_klt_frame0_y,-0.3589765625231742,1.8377002467086196,2.35453464294069,0.8838770469600848,0.9086865541626391,1.0117440537294617,22.184363536833555,23.67345739259207,24.577968714068692,0.99302017583343,1.0527141785924,1.2519310917025646,-1.810122558082717,1.9291521802347988,2.0124481875798774,1.0340192333774494,1.0738455265339382,1.166108952009686
py_x_matlab_alpha_py_apo,"python_smoothed_X_plus[:,0]",matlab_saved_alpha,python_apo_lines,python_klt_frame0_y,1.3254369646803414,4.913377457396034,5.914023240686846,0.922405561010899,0.9416569651473997,1.0420426323878917,2.2132615071153787,5.421067958790976,6.499542757353174,0.5184260809770036,0.650774109751866,0.90933234647956,-0.08820902110048644,0.1635745611062536,0.19915951198255333,-7.629139464040836e-15,1.1634937407954679e-14,1.4360154602312617e-14
matlab_x_matlab_alpha_py_apo,"matlab_X_plus[:,0]",matlab_saved_alpha,python_apo_lines,python_klt_frame0_y,-0.11716647435856391,1.7691774371564422,2.2930390024502634,0.8877909749721316,0.9122687508694742,1.0154590124865484,0.7854105422214143,1.9610980721537237,2.4202297326322912,0.48012478362667105,0.6307677903971155,0.9142062343625336,-0.08956168696687404,0.1637531139839457,0.19891378347501662,-7.725086720182484e-15,1.1744210671893779e-14,1.4491429170968087e-14
matlab_x_matlab_state_alpha_py_apo,"matlab_X_plus[:,0]","matlab_X_plus[:,1]",python_apo_lines,python_klt_frame0_y,-0.1324963728255977,1.7693589360381359,2.2890224875104797,0.8875852242111396,0.9120540890560511,1.015199956260095,2.1670336163194652,6.187746266309566,7.669660208969049,0.5235051291499119,0.677887001769234,0.950670523627716,-0.20249805071273633,0.4876259901880137,0.6041906694627328,0.057723139820960466,0.221510942499519,0.2778727815567349
matlab_x_matlab_alpha_matlab_apo_py_fixed_y,"matlab_X_plus[:,0]",matlab_saved_alpha,matlab_region_sup_deep_lines,python_klt_frame0_y,1.6261678953822836,2.207583177701866,2.6759580244957264,0.03386828800551349,0.04660563032961262,0.061033513793483075,1.607395938720605,2.1848527084042706,2.6482092841554175,0.041479357689492034,0.05615257673449169,0.07283218676062954,0.0018320897565740242,0.0032594853373344988,0.004782697505675346,-7.874338007513938e-15,1.1792184299964603e-14,1.4486201028861577e-14
matlab_x_matlab_alpha_matlab_apo_mat_fixed_y,"matlab_X_plus[:,0]",matlab_saved_alpha,matlab_region_sup_deep_lines,matlab_fas_frame0_y,-1.3793914191729002,1.8790649576130232,2.426070395446592,-0.029644791716841232,0.040779206724188666,0.055975001432927274,-1.3662753100904614,1.8621550952280077,2.405026185094708,-0.035491268406327325,0.04822301226942001,0.06612842794970888,-0.0013007058356400388,0.0027172025666386793,0.004148132187190379,-7.89565961998986e-15,1.1698902245382444e-14,1.4428566435860835e-14
