frame,baseline_alpha_deg,matlab_alpha_deg,baseline_raw_error_deg,localmax_alpha_deg,delta_localmax_deg,mass_below_8deg,mass_below_10deg,gap_to_lower_deg,oracle_high_angle_overweight,n_peaks,n_unique_angles,selected_family_share,selected_family_count,cum_before_selected,cum_after_selected,crossing_margin_under,crossing_margin_over,nearest_lower_share,nearest_lower_gap,best_lower_share,best_lower_gap,best_lower_count,nearest_upper_share,nearest_upper_gap,best_upper_share,best_upper_gap,top_family_share,top_family_angle_offset,selected_is_top_family,duplicate_fraction
0,21.0,18.5,2.5,17.5,3.5,0.1835399449035812,0.1835399449035812,1.5,False,10.0,8.0,0.2152203856749311,2.0,0.4948347107438017,0.2899449035812672,0.0051652892561983,0.2100550964187328,0.0909090909090909,1.5,0.2203856749311294,2.0,2.0,0.0960743801652892,1.0,0.1022727272727272,4.5,0.2203856749311294,-2.0,0.0,0.1999999999999999
1,21.0,19.0,2.0,19.0,2.0,0.1829772570640937,0.1829772570640937,2.0,False,10.0,8.0,0.2136457615437629,2.0,0.4042039972432805,0.3821502412129566,0.0957960027567195,0.1178497587870434,0.2212267401791867,2.0,0.2212267401791867,2.0,2.0,0.0954514128187457,1.0,0.1030323914541695,4.5,0.2212267401791867,-2.0,0.0,0.1999999999999999
2,21.0,18.5,2.5,19.0,2.0,0.1827288428324697,0.1827288428324697,1.5,False,10.0,8.0,0.2145077720207253,2.0,0.494300518134715,0.2911917098445596,0.0056994818652849,0.2088082901554404,0.0898100172711571,1.5,0.221761658031088,2.0,2.0,0.0956822107081174,1.0,0.1032815198618307,4.5,0.221761658031088,-2.0,0.0,0.1999999999999999
3,21.0,19.0,2.0,19.0,2.0,0.2721322769548743,0.2721322769548743,2.0,False,10.0,8.0,0.2115053393041681,2.0,0.4943162245952463,0.2941784361005856,0.0056837754047536,0.2058215638994144,0.222183947640372,2.0,0.222183947640372,2.0,2.0,0.096451946262487,1.0,0.105752669652084,4.5,0.222183947640372,-2.0,0.0,0.1999999999999999
4,20.5,19.0,1.5,19.0,1.5,0.1832244757648676,0.1832244757648676,1.0,False,10.0,9.0,0.0952217256789274,1.0,0.4957029907184599,0.4090752836026126,0.00429700928154,0.0909247163973874,0.091096596768649,1.0,0.2213819181849433,1.5,2.0,0.1179099346854589,0.5,0.1179099346854589,0.5,0.2213819181849433,-1.5,0.0,0.0999999999999999
5,20.5,19.0,1.5,17.5,3.0,0.1834988017802122,0.1834988017802122,1.0,False,10.0,9.0,0.0944881889763779,1.0,0.4967476891475522,0.4087641218760698,0.0032523108524478,0.0912358781239301,0.0920917494008901,1.0,0.2211571379664498,1.5,2.0,0.1181102362204724,0.5,0.1181102362204724,0.5,0.2211571379664498,-1.5,0.0,0.0999999999999999
6,20.5,19.0,1.5,19.0,1.5,0.0924398625429553,0.0924398625429553,1.0,False,10.0,8.0,0.1831615120274914,2.0,0.4054982817869416,0.411340206185567,0.0945017182130584,0.088659793814433,0.1900343642611683,1.0,0.1900343642611683,1.0,2.0,0.1195876288659793,0.5,0.1195876288659793,0.5,0.1900343642611683,-1.0,0.0,0.1999999999999999
7,20.5,19.0,1.5,19.0,1.5,0.0907223553577541,0.0907223553577541,1.0,False,10.0,8.0,0.1879493324204039,2.0,0.404998288257446,0.4070523793221499,0.0950017117425539,0.09294762067785,0.0920917494008901,1.0,0.2221841834988017,1.5,2.0,0.1170831906881205,0.5,0.1170831906881205,0.5,0.2221841834988017,-1.5,0.0,0.1999999999999999
8,20.5,19.0,1.5,19.0,1.5,0.0,0.0,1.0,False,10.0,8.0,0.1886857537081752,2.0,0.3114867195584684,0.4998275267333563,0.1885132804415315,0.0001724732666437,0.1886857537081752,1.0,0.1886857537081752,1.0,2.0,0.116591928251121,0.5,0.116591928251121,0.5,0.1886857537081752,-1.0,0.0,0.1999999999999999
9,20.5,19.0,1.5,19.0,1.5,0.0914444059577416,0.0914444059577416,1.0,False,10.0,8.0,0.1898164184274333,2.0,0.4014547973675095,0.4087287842050571,0.0985452026324905,0.0912712157949428,0.1873917561482507,1.0,0.1873917561482507,1.0,2.0,0.116383789400762,0.5,0.116383789400762,0.5,0.1898164184274333,0.0,1.0,0.1999999999999999
