rule_text,rule_json,flagged_frames,oracle_tp,oracle_fp,oracle_fn,oracle_precision,oracle_recall
top_family_angle_offset <= -6 and mass_below_10deg >= 0.22 and mass_below_10deg >= 0.26 and selected_family_share <= 0.16,"[[""top_family_angle_offset"", ""<="", -6.0], [""mass_below_10deg"", "">="", 0.22], [""mass_below_10deg"", "">="", 0.26], [""selected_family_share"", ""<="", 0.16]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -6 and mass_below_10deg >= 0.22 and mass_below_10deg >= 0.26 and duplicate_fraction <= 0.2,"[[""top_family_angle_offset"", ""<="", -6.0], [""mass_below_10deg"", "">="", 0.22], [""mass_below_10deg"", "">="", 0.26], [""duplicate_fraction"", ""<="", 0.2]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -6 and mass_below_10deg >= 0.22 and selected_family_share <= 0.12 and selected_family_share <= 0.16,"[[""top_family_angle_offset"", ""<="", -6.0], [""mass_below_10deg"", "">="", 0.22], [""selected_family_share"", ""<="", 0.12], [""selected_family_share"", ""<="", 0.16]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -6 and mass_below_10deg >= 0.22 and selected_family_share <= 0.12 and duplicate_fraction <= 0.2,"[[""top_family_angle_offset"", ""<="", -6.0], [""mass_below_10deg"", "">="", 0.22], [""selected_family_share"", ""<="", 0.12], [""duplicate_fraction"", ""<="", 0.2]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -6 and mass_below_10deg >= 0.22 and selected_family_share <= 0.16 and duplicate_fraction <= 0.2,"[[""top_family_angle_offset"", ""<="", -6.0], [""mass_below_10deg"", "">="", 0.22], [""selected_family_share"", ""<="", 0.16], [""duplicate_fraction"", ""<="", 0.2]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -6 and mass_below_10deg >= 0.26 and selected_family_share <= 0.12 and selected_family_share <= 0.16,"[[""top_family_angle_offset"", ""<="", -6.0], [""mass_below_10deg"", "">="", 0.26], [""selected_family_share"", ""<="", 0.12], [""selected_family_share"", ""<="", 0.16]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -6 and mass_below_10deg >= 0.26 and selected_family_share <= 0.12 and duplicate_fraction <= 0.2,"[[""top_family_angle_offset"", ""<="", -6.0], [""mass_below_10deg"", "">="", 0.26], [""selected_family_share"", ""<="", 0.12], [""duplicate_fraction"", ""<="", 0.2]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -6 and mass_below_10deg >= 0.26 and selected_family_share <= 0.16 and duplicate_fraction <= 0.2,"[[""top_family_angle_offset"", ""<="", -6.0], [""mass_below_10deg"", "">="", 0.26], [""selected_family_share"", ""<="", 0.16], [""duplicate_fraction"", ""<="", 0.2]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.18 and mass_below_10deg >= 0.22 and mass_below_10deg >= 0.26,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.18], [""mass_below_10deg"", "">="", 0.22], [""mass_below_10deg"", "">="", 0.26]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.18 and mass_below_10deg >= 0.22 and selected_family_share <= 0.12,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.18], [""mass_below_10deg"", "">="", 0.22], [""selected_family_share"", ""<="", 0.12]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.18 and mass_below_10deg >= 0.22 and selected_family_share <= 0.16,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.18], [""mass_below_10deg"", "">="", 0.22], [""selected_family_share"", ""<="", 0.16]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.18 and mass_below_10deg >= 0.22 and duplicate_fraction <= 0.2,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.18], [""mass_below_10deg"", "">="", 0.22], [""duplicate_fraction"", ""<="", 0.2]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.18 and mass_below_10deg >= 0.26 and selected_family_share <= 0.12,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.18], [""mass_below_10deg"", "">="", 0.26], [""selected_family_share"", ""<="", 0.12]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.18 and mass_below_10deg >= 0.26 and selected_family_share <= 0.16,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.18], [""mass_below_10deg"", "">="", 0.26], [""selected_family_share"", ""<="", 0.16]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.18 and mass_below_10deg >= 0.26 and duplicate_fraction <= 0.2,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.18], [""mass_below_10deg"", "">="", 0.26], [""duplicate_fraction"", ""<="", 0.2]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.22 and mass_below_10deg >= 0.26 and selected_family_share <= 0.12,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.22], [""mass_below_10deg"", "">="", 0.26], [""selected_family_share"", ""<="", 0.12]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.22 and mass_below_10deg >= 0.26 and selected_family_share <= 0.16,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.22], [""mass_below_10deg"", "">="", 0.26], [""selected_family_share"", ""<="", 0.16]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.22 and mass_below_10deg >= 0.26 and duplicate_fraction <= 0.2,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.22], [""mass_below_10deg"", "">="", 0.26], [""duplicate_fraction"", ""<="", 0.2]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.22 and selected_family_share <= 0.12 and selected_family_share <= 0.16,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.22], [""selected_family_share"", ""<="", 0.12], [""selected_family_share"", ""<="", 0.16]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.22 and selected_family_share <= 0.12 and duplicate_fraction <= 0.2,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.22], [""selected_family_share"", ""<="", 0.12], [""duplicate_fraction"", ""<="", 0.2]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.22 and selected_family_share <= 0.16 and duplicate_fraction <= 0.2,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.22], [""selected_family_share"", ""<="", 0.16], [""duplicate_fraction"", ""<="", 0.2]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.26 and selected_family_share <= 0.12 and selected_family_share <= 0.16,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.26], [""selected_family_share"", ""<="", 0.12], [""selected_family_share"", ""<="", 0.16]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.26 and selected_family_share <= 0.12 and duplicate_fraction <= 0.2,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.26], [""selected_family_share"", ""<="", 0.12], [""duplicate_fraction"", ""<="", 0.2]]",41,10,31,111,0.24390243902439024,0.08264462809917356
top_family_angle_offset <= -4 and mass_below_10deg >= 0.26 and selected_family_share <= 0.16 and duplicate_fraction <= 0.2,"[[""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.26], [""selected_family_share"", ""<="", 0.16], [""duplicate_fraction"", ""<="", 0.2]]",41,10,31,111,0.24390243902439024,0.08264462809917356
mass_below_10deg >= 0.22 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.22 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.26 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""mass_below_10deg"", "">="", 0.26], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.26 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""mass_below_10deg"", "">="", 0.26], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.18 and mass_below_10deg >= 0.22 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""mass_below_10deg"", "">="", 0.18], [""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.18 and mass_below_10deg >= 0.22 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""mass_below_10deg"", "">="", 0.18], [""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.18 and mass_below_10deg >= 0.26 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""mass_below_10deg"", "">="", 0.18], [""mass_below_10deg"", "">="", 0.26], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.18 and mass_below_10deg >= 0.26 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""mass_below_10deg"", "">="", 0.18], [""mass_below_10deg"", "">="", 0.26], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.22 and mass_below_10deg >= 0.26 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""mass_below_10deg"", "">="", 0.22], [""mass_below_10deg"", "">="", 0.26], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.22 and mass_below_10deg >= 0.26 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""mass_below_10deg"", "">="", 0.22], [""mass_below_10deg"", "">="", 0.26], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.22 and gap_to_lower_deg >= 4 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 4.0], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.22 and gap_to_lower_deg >= 4 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 4.0], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.22 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12 and selected_family_share <= 0.16,"[[""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12], [""selected_family_share"", ""<="", 0.16]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.22 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12 and duplicate_fraction <= 0.2,"[[""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12], [""duplicate_fraction"", ""<="", 0.2]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.22 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16 and duplicate_fraction <= 0.2,"[[""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16], [""duplicate_fraction"", ""<="", 0.2]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.26 and gap_to_lower_deg >= 4 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""mass_below_10deg"", "">="", 0.26], [""gap_to_lower_deg"", "">="", 4.0], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.26 and gap_to_lower_deg >= 4 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""mass_below_10deg"", "">="", 0.26], [""gap_to_lower_deg"", "">="", 4.0], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.26 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12 and selected_family_share <= 0.16,"[[""mass_below_10deg"", "">="", 0.26], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12], [""selected_family_share"", ""<="", 0.16]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.26 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12 and duplicate_fraction <= 0.2,"[[""mass_below_10deg"", "">="", 0.26], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12], [""duplicate_fraction"", ""<="", 0.2]]",66,16,50,105,0.24242424242424243,0.1322314049586777
mass_below_10deg >= 0.26 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16 and duplicate_fraction <= 0.2,"[[""mass_below_10deg"", "">="", 0.26], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16], [""duplicate_fraction"", ""<="", 0.2]]",66,16,50,105,0.24242424242424243,0.1322314049586777
selected_is_top_family <= 0 and best_upper_share >= 0.12 and mass_below_10deg >= 0.22 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", "">="", 0.12], [""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 6.0]]",50,12,38,109,0.24,0.09917355371900827
selected_is_top_family <= 0 and best_upper_share >= 0.12 and mass_below_10deg >= 0.26 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", "">="", 0.12], [""mass_below_10deg"", "">="", 0.26], [""gap_to_lower_deg"", "">="", 6.0]]",50,12,38,109,0.24,0.09917355371900827
gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",84,20,64,101,0.23809523809523808,0.1652892561983471
gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",84,20,64,101,0.23809523809523808,0.1652892561983471
gap_to_lower_deg >= 4 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""gap_to_lower_deg"", "">="", 4.0], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",84,20,64,101,0.23809523809523808,0.1652892561983471
gap_to_lower_deg >= 4 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""gap_to_lower_deg"", "">="", 4.0], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",84,20,64,101,0.23809523809523808,0.1652892561983471
gap_to_lower_deg >= 6 and selected_family_share <= 0.12 and selected_family_share <= 0.16,"[[""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12], [""selected_family_share"", ""<="", 0.16]]",84,20,64,101,0.23809523809523808,0.1652892561983471
gap_to_lower_deg >= 6 and selected_family_share <= 0.12 and duplicate_fraction <= 0.2,"[[""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12], [""duplicate_fraction"", ""<="", 0.2]]",84,20,64,101,0.23809523809523808,0.1652892561983471
gap_to_lower_deg >= 6 and selected_family_share <= 0.16 and duplicate_fraction <= 0.2,"[[""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16], [""duplicate_fraction"", ""<="", 0.2]]",84,20,64,101,0.23809523809523808,0.1652892561983471
gap_to_lower_deg >= 4 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12 and selected_family_share <= 0.16,"[[""gap_to_lower_deg"", "">="", 4.0], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12], [""selected_family_share"", ""<="", 0.16]]",84,20,64,101,0.23809523809523808,0.1652892561983471
gap_to_lower_deg >= 4 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12 and duplicate_fraction <= 0.2,"[[""gap_to_lower_deg"", "">="", 4.0], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12], [""duplicate_fraction"", ""<="", 0.2]]",84,20,64,101,0.23809523809523808,0.1652892561983471
gap_to_lower_deg >= 4 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16 and duplicate_fraction <= 0.2,"[[""gap_to_lower_deg"", "">="", 4.0], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16], [""duplicate_fraction"", ""<="", 0.2]]",84,20,64,101,0.23809523809523808,0.1652892561983471
gap_to_lower_deg >= 6 and selected_family_share <= 0.12 and selected_family_share <= 0.16 and duplicate_fraction <= 0.2,"[[""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12], [""selected_family_share"", ""<="", 0.16], [""duplicate_fraction"", ""<="", 0.2]]",84,20,64,101,0.23809523809523808,0.1652892561983471
selected_is_top_family <= 0 and best_upper_share <= 0.16 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", ""<="", 0.16], [""gap_to_lower_deg"", "">="", 6.0]]",42,10,32,111,0.23809523809523808,0.08264462809917356
selected_is_top_family <= 0 and best_upper_share <= 0.18 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", ""<="", 0.18], [""gap_to_lower_deg"", "">="", 6.0]]",42,10,32,111,0.23809523809523808,0.08264462809917356
selected_is_top_family <= 0 and best_upper_share <= 0.16 and best_upper_share <= 0.18 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", ""<="", 0.16], [""best_upper_share"", ""<="", 0.18], [""gap_to_lower_deg"", "">="", 6.0]]",42,10,32,111,0.23809523809523808,0.08264462809917356
selected_is_top_family <= 0 and best_upper_share <= 0.16 and gap_to_lower_deg >= 4 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", ""<="", 0.16], [""gap_to_lower_deg"", "">="", 4.0], [""gap_to_lower_deg"", "">="", 6.0]]",42,10,32,111,0.23809523809523808,0.08264462809917356
selected_is_top_family <= 0 and best_upper_share <= 0.16 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", ""<="", 0.16], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",42,10,32,111,0.23809523809523808,0.08264462809917356
selected_is_top_family <= 0 and best_upper_share <= 0.16 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", ""<="", 0.16], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",42,10,32,111,0.23809523809523808,0.08264462809917356
selected_is_top_family <= 0 and best_upper_share <= 0.16 and gap_to_lower_deg >= 6 and duplicate_fraction <= 0.2,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", ""<="", 0.16], [""gap_to_lower_deg"", "">="", 6.0], [""duplicate_fraction"", ""<="", 0.2]]",42,10,32,111,0.23809523809523808,0.08264462809917356
selected_is_top_family <= 0 and best_upper_share <= 0.18 and gap_to_lower_deg >= 4 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", ""<="", 0.18], [""gap_to_lower_deg"", "">="", 4.0], [""gap_to_lower_deg"", "">="", 6.0]]",42,10,32,111,0.23809523809523808,0.08264462809917356
selected_is_top_family <= 0 and best_upper_share <= 0.18 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", ""<="", 0.18], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",42,10,32,111,0.23809523809523808,0.08264462809917356
selected_is_top_family <= 0 and best_upper_share <= 0.18 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", ""<="", 0.18], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",42,10,32,111,0.23809523809523808,0.08264462809917356
selected_is_top_family <= 0 and best_upper_share <= 0.18 and gap_to_lower_deg >= 6 and duplicate_fraction <= 0.2,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", ""<="", 0.18], [""gap_to_lower_deg"", "">="", 6.0], [""duplicate_fraction"", ""<="", 0.2]]",42,10,32,111,0.23809523809523808,0.08264462809917356
selected_is_top_family <= 0 and best_upper_share >= 0.12 and gap_to_lower_deg >= 6 and delta_localmax_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", "">="", 0.12], [""gap_to_lower_deg"", "">="", 6.0], [""delta_localmax_deg"", "">="", 6.0]]",42,10,32,111,0.23809523809523808,0.08264462809917356
selected_is_top_family <= 0 and best_upper_share >= 0.12 and mass_below_10deg >= 0.18 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", "">="", 0.12], [""mass_below_10deg"", "">="", 0.18], [""gap_to_lower_deg"", "">="", 6.0]]",59,14,45,107,0.23728813559322035,0.11570247933884298
selected_is_top_family <= 0 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""gap_to_lower_deg"", "">="", 6.0]]",102,24,78,97,0.23529411764705882,0.19834710743801653
selected_is_top_family <= 0 and gap_to_lower_deg >= 4 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""gap_to_lower_deg"", "">="", 4.0], [""gap_to_lower_deg"", "">="", 6.0]]",102,24,78,97,0.23529411764705882,0.19834710743801653
selected_is_top_family <= 0 and gap_to_lower_deg >= 6 and duplicate_fraction <= 0.2,"[[""selected_is_top_family"", ""<="", 0.0], [""gap_to_lower_deg"", "">="", 6.0], [""duplicate_fraction"", ""<="", 0.2]]",98,23,75,98,0.23469387755102042,0.19008264462809918
selected_is_top_family <= 0 and gap_to_lower_deg >= 4 and gap_to_lower_deg >= 6 and duplicate_fraction <= 0.2,"[[""selected_is_top_family"", ""<="", 0.0], [""gap_to_lower_deg"", "">="", 4.0], [""gap_to_lower_deg"", "">="", 6.0], [""duplicate_fraction"", ""<="", 0.2]]",98,23,75,98,0.23469387755102042,0.19008264462809918
best_upper_share <= 0.16 and mass_below_10deg >= 0.18 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""best_upper_share"", ""<="", 0.16], [""mass_below_10deg"", "">="", 0.18], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",47,11,36,110,0.23404255319148937,0.09090909090909091
best_upper_share <= 0.16 and mass_below_10deg >= 0.18 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""best_upper_share"", ""<="", 0.16], [""mass_below_10deg"", "">="", 0.18], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",47,11,36,110,0.23404255319148937,0.09090909090909091
best_upper_share <= 0.18 and mass_below_10deg >= 0.18 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""best_upper_share"", ""<="", 0.18], [""mass_below_10deg"", "">="", 0.18], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",47,11,36,110,0.23404255319148937,0.09090909090909091
best_upper_share <= 0.18 and mass_below_10deg >= 0.18 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""best_upper_share"", ""<="", 0.18], [""mass_below_10deg"", "">="", 0.18], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",47,11,36,110,0.23404255319148937,0.09090909090909091
selected_is_top_family <= 0 and best_upper_share >= 0.12 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", "">="", 0.12], [""gap_to_lower_deg"", "">="", 6.0]]",60,14,46,107,0.23333333333333334,0.11570247933884298
selected_is_top_family <= 0 and best_upper_share >= 0.12 and gap_to_lower_deg >= 4 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", "">="", 0.12], [""gap_to_lower_deg"", "">="", 4.0], [""gap_to_lower_deg"", "">="", 6.0]]",60,14,46,107,0.23333333333333334,0.11570247933884298
selected_is_top_family <= 0 and best_upper_share >= 0.12 and gap_to_lower_deg >= 6 and duplicate_fraction <= 0.2,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", "">="", 0.12], [""gap_to_lower_deg"", "">="", 6.0], [""duplicate_fraction"", ""<="", 0.2]]",56,13,43,108,0.23214285714285715,0.10743801652892562
top_family_angle_offset <= -6 and mass_below_10deg >= 0.18,"[[""top_family_angle_offset"", ""<="", -6.0], [""mass_below_10deg"", "">="", 0.18]]",62,14,48,107,0.22580645161290322,0.11570247933884298
selected_is_top_family <= 0 and top_family_angle_offset <= -6 and mass_below_10deg >= 0.18,"[[""selected_is_top_family"", ""<="", 0.0], [""top_family_angle_offset"", ""<="", -6.0], [""mass_below_10deg"", "">="", 0.18]]",62,14,48,107,0.22580645161290322,0.11570247933884298
top_family_angle_offset <= -6 and top_family_angle_offset <= -4 and mass_below_10deg >= 0.18,"[[""top_family_angle_offset"", ""<="", -6.0], [""top_family_angle_offset"", ""<="", -4.0], [""mass_below_10deg"", "">="", 0.18]]",62,14,48,107,0.22580645161290322,0.11570247933884298
