frame,candidate_source,alpha_deg,segment_angle_deg,x_sup,y_sup,x_deep,y_deep,x_mid,y_mid,peak_weight,peak_weight_norm,score,raw_mask_support,mask_support_score,inside_muscle_score,visible_fraction,hough_score,length_score,phi_score,pennation_score,boundary_score,length_px,length_mm,phi_deg,pennation_deep_deg,outside_px,alpha_bin,xmid_bin,length_bin_px,length_bin,cluster_id
0,grid_scan,-44.8,-44.80000000000001,273.86289532455214,94.9808801833162,526.1371020707579,345.5,399.99999869765503,220.24044009165812,,,0.5541013732790055,0.174,0.532,1.0,1.0,1.0,1.0,0.9715114439917132,1.0,1.0,355.5307367628759,,-45.28902230520473,-44.8,0.0,-44.75,400.0,350.0,350.0,a-44.75_x400_lp350
0,grid_scan,-44.9,-44.900000000000006,274.3005622096503,94.97714458414708,525.699437193284,345.50000000000006,399.9999997014671,220.23857229207357,,,0.5522413692331292,0.174,0.53,1.0,1.0,1.0,1.0,0.9618447436094097,1.0,1.0,354.9127997533324,,-45.38902230520473,-44.9,0.0,-45.0,400.0,350.0,350.0,a-45.00_x400_lp350
0,grid_scan,-39.8,-39.79999999999998,249.78215274105142,95.1864155003526,550.2178481499041,345.5,400.0000004454777,220.3432077501763,,,0.551160459770115,0.176,0.544,1.0,1.0,0.7816091954022989,1.0,1.0,1.0,1.0,391.04794803305515,,-40.28902230520473,-39.8,0.0,-39.75,400.0,400.0,400.0,a-39.75_x400_lp400
0,hough_peak,-45.0,-45.0,274.73671180483046,94.97342193543676,525.2632898693938,345.50000000000006,400.0000008371121,220.2367109677184,174.0,1.0,0.5507329074203609,0.172,0.53,1.0,1.0,1.0,1.0,0.9522742285030071,1.0,1.0,354.2980844338274,,-45.489022305204735,-45.0,0.0,-45.0,400.0,350.0,350.0,a-45.00_x400_lp350
0,grid_scan,-43.3,-43.30000000000001,267.1083739810357,95.03853175618423,532.8916278887623,345.5,400.000000934899,220.2692658780921,,,0.5492698850574713,0.198,0.524,1.0,1.0,0.8045977011494253,1.0,1.0,1.0,1.0,365.20088325827885,,-43.78902230520473,-43.3,0.0,-43.25,400.0,350.0,350.0,a-43.25_x400_lp350
0,grid_scan,-42.2,-42.19999999999999,261.91418885301204,95.08286545907285,538.0858102169592,345.5,399.9999995349856,220.29143272953644,,,0.5491731034482759,0.186,0.534,1.0,1.0,0.7758620689655172,1.0,1.0,1.0,1.0,372.7995516607822,,-42.68902230520474,-42.2,0.0,-42.25,400.0,350.0,350.0,a-42.25_x400_lp350
0,grid_scan,-39.5,-39.5,248.1809580628984,95.20008210779504,551.8190385826393,345.5,399.9999983227689,220.3500410538975,,,0.5489919540229885,0.18,0.53,1.0,1.0,0.8218390804597702,1.0,1.0,1.0,1.0,393.5049336902362,,-39.989022305204735,-39.5,0.0,-39.5,400.0,400.0,400.0,a-39.50_x400_lp400
0,grid_scan,-42.3,-42.30000000000001,262.39532564854136,95.07875883306392,537.6046762804947,345.5,400.000000964518,220.28937941653197,,,0.5489216091954023,0.188,0.538,1.0,1.0,0.735632183908046,1.0,1.0,1.0,1.0,372.09002231026057,,-42.78902230520473,-42.3,0.0,-42.25,400.0,350.0,350.0,a-42.25_x400_lp350
0,grid_scan,-42.0,-42.0,260.94638606674545,95.0911259041905,539.0536154618392,345.5,400.0000007642923,220.29556295209525,,,0.5488531034482759,0.192,0.53,1.0,1.0,0.7758620689655172,1.0,1.0,1.0,1.0,374.23019021418656,,-42.489022305204735,-42.0,0.0,-42.0,400.0,350.0,350.0,a-42.00_x400_lp350
0,grid_scan,-41.9,-41.900000000000006,260.45968855282644,95.09527999235772,539.5403095941404,345.5,399.9999990734834,220.29763999617887,,,0.5488531034482759,0.192,0.53,1.0,1.0,0.7758620689655172,1.0,1.0,1.0,1.0,374.9513526351268,,-42.38902230520473,-41.9,0.0,-42.0,400.0,350.0,350.0,a-42.00_x400_lp350
0,grid_scan,-42.1,-42.099999999999994,261.4312150759067,95.08698776419084,538.5687870199589,345.5,400.0000010479328,220.29349388209542,,,0.5488331034482758,0.188,0.532,1.0,1.0,0.7758620689655172,1.0,1.0,1.0,1.0,373.51293214567045,,-42.589022305204736,-42.1,0.0,-42.0,400.0,350.0,350.0,a-42.00_x400_lp350
0,grid_scan,-39.7,-39.69999999999999,249.2506469283127,95.19095203884801,550.7493524745099,345.5,399.9999997014113,220.345476019424,,,0.5486319540229886,0.178,0.53,1.0,1.0,0.8218390804597702,1.0,1.0,1.0,1.0,391.86233416501113,,-40.18902230520474,-39.7,0.0,-39.75,400.0,400.0,400.0,a-39.75_x400_lp400
0,grid_scan,-43.4,-43.400000000000006,267.57012785030025,95.03459056842462,532.4298721851935,345.5,400.00000001774686,220.2672952842123,,,0.5481898850574713,0.192,0.524,1.0,1.0,0.8045977011494253,1.0,1.0,1.0,1.0,364.53203630253364,,-43.88902230520473,-43.4,0.0,-43.5,400.0,350.0,350.0,a-43.50_x400_lp350
0,grid_scan,-45.1,-45.099999999999994,275.17135229620857,94.96971216731478,524.8286472227901,345.5,399.99999975949936,220.2348560836574,,,0.5480798596934957,0.168,0.53,1.0,1.0,1.0,1.0,0.9427989416130194,0.9900498337491679,1.0,353.68657032970054,,-45.589022305204736,-45.1,0.0,-45.0,400.0,350.0,350.0,a-45.00_x400_lp350
0,grid_scan,-39.9,-39.900000000000006,250.311453540041,95.18189778221537,549.68854480168,345.50000000000006,399.9999991708605,220.3409488911077,,,0.547940459770115,0.162,0.542,1.0,1.0,0.7816091954022989,1.0,1.0,1.0,1.0,390.2381261104469,,-40.38902230520473,-39.9,0.0,-40.0,400.0,400.0,400.0,a-40.00_x400_lp400
0,grid_scan,-43.2,-43.19999999999999,266.64492040548987,95.04248745137306,533.3550818665668,345.5,400.00000113602835,220.27124372568653,,,0.5479383908045977,0.194,0.528,1.0,1.0,0.764367816091954,1.0,1.0,1.0,1.0,365.8733056928851,,-43.68902230520474,-43.2,0.0,-43.25,400.0,350.0,350.0,a-43.25_x400_lp350
0,grid_scan,-39.6,-39.60000000000002,248.71692097833576,95.19550752678441,551.2830767531183,345.5,399.99999886572704,220.3477537633922,,,0.5479319540229886,0.178,0.528,1.0,1.0,0.8218390804597702,1.0,1.0,1.0,1.0,392.6813180845302,,-40.089022305204736,-39.6,0.0,-39.5,400.0,400.0,400.0,a-39.50_x400_lp400
0,grid_scan,-43.1,-43.10000000000002,266.17975462653123,95.04645776065738,533.8202460858759,345.5,400.00000035620354,220.2732288803287,,,0.5479183908045977,0.19,0.53,1.0,1.0,0.764367816091954,1.0,1.0,1.0,1.0,366.54932749745115,,-43.589022305204736,-43.1,0.0,-43.0,400.0,350.0,350.0,a-43.00_x400_lp350
0,grid_scan,-40.0,-40.0,250.8385704042372,95.17739870452193,549.1614298056512,345.49999999999994,400.0000001049442,220.33869935226093,,,0.5475804597701149,0.16,0.542,1.0,1.0,0.7816091954022989,1.0,1.0,1.0,1.0,389.4328352370543,,-40.489022305204735,-40.0,0.0,-40.0,400.0,400.0,400.0,a-40.00_x400_lp400
0,grid_scan,-39.4,-39.400000000000006,247.64274235730937,95.20467591694768,552.3572569197134,345.5,399.99999963851144,220.35233795847384,,,0.5475719540229885,0.176,0.528,1.0,1.0,0.8218390804597702,1.0,1.0,1.0,1.0,394.33321524168076,,-39.88902230520473,-39.4,0.0,-39.5,400.0,400.0,400.0,a-39.50_x400_lp400
0,grid_scan,-41.8,-41.80000000000001,259.97111349435784,95.09945010584946,540.0288879995057,345.50000000000006,400.0000007469318,220.29972505292477,,,0.5474331034482759,0.188,0.528,1.0,1.0,0.7758620689655172,1.0,1.0,1.0,1.0,375.6764464909522,,-42.28902230520473,-41.8,0.0,-41.75,400.0,400.0,400.0,a-41.75_x400_lp400
0,grid_scan,-39.2,-39.19999999999999,246.559474229161,95.2139218883866,553.4405254940095,345.5,399.99999986158525,220.3569609441933,,,0.5473981609195402,0.184,0.516,1.0,1.0,0.8735632183908046,1.0,1.0,1.0,1.0,396.0039147810426,,-39.68902230520474,-39.2,0.0,-39.25,400.0,400.0,400.0,a-39.25_x400_lp400
0,grid_scan,-43.5,-43.5,268.03019436497215,95.03066378266945,531.9698028631103,345.5000000000001,399.99999861404126,220.26533189133477,,,0.5471298850574713,0.19,0.522,1.0,1.0,0.8045977011494253,1.0,1.0,1.0,1.0,363.8667411557433,,-43.989022305204735,-43.5,0.0,-43.5,400.0,350.0,350.0,a-43.50_x400_lp350
