cluster_id,frame_coverage,n_candidates,cluster_score,mean_score,median_alpha_deg,alpha_std_deg,median_length_px,length_std_px,median_length_mm,length_std_mm,median_x_mid,x_mid_std,mean_mask_support,mean_hough_score,hough_peak_fraction
a-41.75_x400_lp400,11,22,0.9836705509696495,0.5459700760512157,-41.8,0.028747978728801814,390.75225486970135,13.79652405592279,,,400.00000047753304,5.697544144230205e-07,0.5338181818181819,0.7379469755697687,0.0
a-41.25_x400_lp400,11,22,0.9826680137268949,0.5454368178262061,-41.2,0.04979295977319409,394.6335353538455,14.18355923077799,,,399.99999990071655,8.535301309877782e-07,0.5341818181818183,0.7332454474332111,0.0
a-41.00_x400_lp400,11,33,0.98220514958478,0.5456350804310515,-41.0,0.08331955809010737,396.2162220544878,14.108317475754212,,,399.9999996967449,6.525600927231785e-07,0.5350909090909092,0.7315016086210303,0.0
a-40.75_x400_lp400,11,22,0.9821660088276303,0.5449352409411327,-40.8,0.0497929597731941,399.43468709024484,14.186983344308869,,,400.0000001358375,1.1597741020859783e-06,0.5318181818181819,0.7436866370044727,0.0
a-41.50_x400_lp400,11,33,0.9819129918692737,0.5456785476328034,-41.4,0.09958591954639526,393.8487188999433,14.19069898081352,,,400.00000074898816,5.470500348676528e-07,0.5363636363636364,0.7241164072015245,0.0
a-40.50_x400_lp400,11,33,0.9792528842450069,0.5421906085941223,-40.6,0.057495957457607716,400.25055033419835,14.302441599705775,,,399.99999987938935,5.990249618470334e-07,0.5252727272727273,0.7267576264279008,0.0
a-40.25_x400_lp400,11,22,0.9768627721258888,0.539597832056644,-40.3,0.04810456929208073,403.5599756586379,14.183748359309893,,,400.00000053007557,6.774408932338165e-07,0.5165454545454546,0.7301020956783355,0.0
a-35.25_x400_lp450,11,22,0.9763642992483922,0.5391718483714665,-35.3,0.038569460791991306,450.9644435098705,16.289279257874718,,,399.99999991673315,5.736232490523586e-07,0.5103636363636364,0.7412915128838741,0.0
a-35.75_x400_lp450,11,22,0.975291448993991,0.5382812739990702,-35.7,0.04979295977319409,446.55471765231067,15.951726476923499,,,400.0000000632385,4.2171219698495956e-07,0.5083636363636364,0.7381345708904956,0.0
a-40.00_x400_lp400,11,29,0.9752863818381562,0.5389355894961926,-40.1,0.0962091385841683,406.0912622840411,13.80019909082421,,,399.9999992698968,7.351444161053061e-07,0.5147272727272727,0.7250026990147619,0.0
