group,comparison,n,bias,mae,rmse,corr,median_abs_error,p95_abs_error
current package result,Fdat.Region.ANG deg,2664,-1.504465787275876,3.1166261525306744,3.8415277218749773,0.6417302901614336,2.748270021049091,7.543253529641128
current package result,Fdat.Region.PEN deg,2664,-1.6323088067483456,3.0132235858443743,3.7467811225875165,0.6311276135296872,2.4721514258980406,7.405088243134419
current package result,Fdat.Region.FL mm,2664,1.7639381868612973,6.782001801898302,8.122037364067518,0.5574231728874937,6.895689317792215,14.220996539608702
current package result,geofeatures.alpha deg,2664,-1.5345345345345345,3.6674174174174174,4.515571989282242,0.6057451558043635,3.0,9.0
current package result,geofeatures.phi/PEN deg,2664,-1.352211217764686,3.6442854646353804,4.405309040197915,0.5791485912152825,3.1249222827620944,8.814015620142605
current package result,geofeatures.faslen px,2664,23.906343460660878,86.3040052285513,104.39550290294508,0.5291139876706107,77.67989760082008,195.6169700847288
current package result,geofeatures.betha/super deg,2664,-0.18232337467965415,0.37762333127692854,0.467263560176531,0.4325202582703684,0.3480417199427155,0.9175327218408982
current package result,geofeatures.gamma/deep deg,2664,-0.4217233860805812,0.4808973822254148,0.6487509165364936,0.22239453929137254,0.36721354057672984,1.2960963668998042
current package result,geofeatures.thickness px,2664,3.8023714012902565,6.052138350786269,8.035758768055889,0.4462668553733033,4.521082344047926,15.599689238770637
Notebook 33 MATLAB-param run,Fdat.Region.ANG deg,2666,-0.5098127573067314,3.114254494779849,3.678329613184863,0.6085924999190718,3.1252558844276876,6.739977184564106
Notebook 33 MATLAB-param run,Fdat.Region.PEN deg,2666,-0.7681233071679291,3.008362491370421,3.5379568723068058,0.6039993911714251,2.8863862866601,6.629348161057268
Notebook 33 MATLAB-param run,Fdat.Region.FL mm,2666,-0.36452773814270145,6.814876891061663,8.088497729510387,0.5134936197773888,7.2478525277566455,13.158147859045357
Notebook 33 MATLAB-param run,geofeatures.alpha deg,2666,-0.5416354088522131,3.777194298574644,4.428285777672008,0.5699977228662244,3.5,8.5
Notebook 33 MATLAB-param run,geofeatures.phi/PEN deg,2666,-0.4893859022266125,3.721980855144188,4.338682092251881,0.5472754180744721,3.4977982534032,8.166413302512144
Notebook 33 MATLAB-param run,geofeatures.faslen px,2666,-8.501824290808882,89.03080968097522,104.956836988421,0.4777676455456208,93.26610919939307,168.61517925297414
Notebook 33 MATLAB-param run,geofeatures.betha/super deg,2666,-0.05224950703362193,0.3147436223522126,0.4104458138592306,0.3931503083210302,0.23695287851675673,0.873719144284727
Notebook 33 MATLAB-param run,geofeatures.gamma/deep deg,2666,-0.4694498526654284,0.5164072128459927,0.6510518232980476,0.3282568211229523,0.43564325930171166,1.231637128303029
Notebook 33 MATLAB-param run,geofeatures.thickness px,2666,-0.510846586143518,4.963769977191102,5.94782748503613,0.3769538772072803,4.653256511082731,11.002474694858677
MATLAB rerun stability,old vs fresh ANG deg,2666,2.124165642913728e-15,3.103360695870445e-14,3.8661598563022024e-14,0.9999999999999998,2.4868995751603507e-14,7.460698725481052e-14
MATLAB rerun stability,old vs fresh PEN deg,2666,-0.013939343161045878,0.020538925132191004,0.06685672730723714,0.9998890710406548,0.005748953628280873,0.0927963706986823
MATLAB rerun stability,old vs fresh FL mm,2666,0.016406658127330324,0.03552940671826319,0.06650963603330355,0.9999782318705628,0.018426007638140618,0.13668271379666486
