variant,x_measurement_variance,fixed_superficial_y_px,fixed_y_offset_from_baseline_px,FL_bias,FL_mae,FL_rmse,ANG_bias,ANG_mae,ANG_rmse,PEN_bias,PEN_mae,PEN_rmse,end_x_sup_bias,end_x_sup_mae,end_x_sup_rmse,end_x_deep_bias,end_x_deep_mae,end_x_deep_rmse
baseline,100.0,55.87288284301758,0.0,-1.808791611010859,1.9281208748226457,2.0116571332303375,1.034019233377449,1.0738455265339377,1.1661089520096855,0.9659120668440333,1.0083586559882662,1.094590007163528,1.0848373096059158,4.864974075992099,5.948635119705359,23.61367177055711,24.195752424282798,25.801036712323935
best_x_variance_for_FL,10.0,55.87288284301758,0.0,-1.807588534335,1.926966906106489,2.01047777611809,1.034019752615761,1.0738458901920973,1.1661091283109457,0.9659125860823452,1.008359022809683,1.0945900299420224,0.9871844264593469,5.137293515285317,6.549534318772221,23.503363277064054,24.089413435488122,25.8382161789812
matlab_frame0_fixed_y,100.0,54.41875511875512,-1.454127724262456,-1.8113429602354292,1.9306261944303307,2.0141496052500996,1.0340200265460484,1.073846010846423,1.1661090594854284,0.9659128600126325,1.0083591034749226,1.0945896536856619,-1.8532423470921144,4.434651309744157,6.004588802994342,20.701644252597646,21.496442275744993,23.22059140535077
best_fixed_y_for_FL_in_tested_range,100.0,115.87288284301758,60.0,-1.703202862009893,1.8244528892995973,1.9173803219048864,1.0340238006213318,1.0738498024769672,1.1661184671009732,0.9659166340879161,1.0083628442424948,1.0945984074780077,122.7619083259299,122.7619083259299,123.69208343266432,144.21254810102909,144.21254810102909,144.6347074948357
