fixed_y_offset_px,fixed_superficial_y_px,FL_bias,FL_mae,FL_rmse,ANG_bias,ANG_mae,ANG_rmse,PEN_bias,PEN_mae,PEN_rmse,end_x_sup_bias,end_x_sup_mae,end_x_sup_rmse,end_y_sup_bias,end_y_sup_mae,end_y_sup_rmse,end_x_deep_bias,end_x_deep_mae,end_x_deep_rmse,end_y_deep_bias,end_y_deep_mae,end_y_deep_rmse
-20.0,35.87288284301758,-1.844243495373985,1.9629088026163373,2.0471586382177973,1.03401971968697,1.0738465191089288,1.166110359174092,0.9659125531535542,1.0083596498561078,1.0945910605605298,-39.17635500035776,39.17635500035776,39.43375295907955,0.11971736923134513,0.4584706604076848,0.5898105518314296,-16.28545452239556,16.317351396634905,20.35599158490951,0.08269162660016255,0.6223070276906337,0.8655763733567539
-10.0,45.87288284301758,-1.826406054727363,1.9454212874372705,2.0290740360657846,1.0340189077277206,1.0738456755527275,1.1661106469139548,0.965911741194305,1.0083588219882484,1.0945913348086256,-19.082827143391917,19.082827143391917,19.732341769920154,0.5186947322956909,0.6157517571233545,0.7348594510493535,3.625869616561159,9.112956806207727,11.844289916578361,0.5570113909250409,0.7066270325465033,0.9551967372149671
-5.0,50.87288284301758,-1.8175794569376527,1.9367538341227455,2.0202887077318556,1.0340194666644873,1.0738460153030367,1.1661071691614633,0.9659123001310713,1.0083591536628702,1.0945880938979768,-9.009600140730281,9.13046963093061,10.504144844905431,0.718459130941331,0.7653475383626938,0.8750847812340053,13.60896601900037,15.322484088735365,17.389507145226695,0.794132138010489,0.8680620084623095,1.0882851639475613
0.0,55.87288284301758,-1.808791611010859,1.9281208748226457,2.0116571332303375,1.034019233377449,1.0738455265339377,1.1661089520096855,0.9659120668440333,1.0083586559882662,1.094590007163528,1.0848373096059158,4.864974075992099,5.948635119705359,0.9185156678510692,0.9380709522028949,1.0383835075916512,23.61367177055711,24.195752424282798,25.801036712323935,1.0313676903915754,1.0701958460417904,1.2580178234855532
5.0,60.87288284301758,-1.800041846181559,1.9195164865131702,2.003172182223023,1.0340195490221067,1.0738452796692286,1.1661096746980883,0.9659123824886909,1.0083584263428274,1.0945904152424621,11.202793247313693,11.25451742168462,12.884800116827254,1.1189427981139393,1.1233657014410852,1.2156652671505113,33.642296377713656,33.770252005331024,35.097215019826045,1.2688356808261114,1.2890008449445793,1.4515835502933176
10.0,65.87288284301758,-1.7913190997787527,1.9109280863537836,1.9948269304218795,1.0340243288518023,1.0738506844673539,1.1661171200349512,0.9659171623183865,1.0083637683728452,1.0945977007557386,21.345672003991137,21.345672003991137,22.44882534157742,1.3198047441259229,1.3211994419048727,1.4018396888969278,43.69613797364849,43.69613797364849,44.749779274015566,1.5066394016210132,1.5214088352746475,1.6607559212195446
20.0,75.87288284301758,-1.7739045684952628,1.8937453773600186,1.9785043567703666,1.0340230232736443,1.073848602065076,1.1661154650616816,0.9659158567402285,1.0083616834274407,1.0945958501950663,41.700975525863825,41.700975525863825,42.52523661023795,1.722889495571226,1.7229010164187768,1.7903455986869317,63.87366088534546,63.87366088534546,64.53074919839997,1.9834794899940102,1.9935069727440293,2.1075987659063826
30.0,85.87288284301758,-1.7564650417246341,1.876502615811146,1.9626329123937598,1.0340229915940469,1.0738488363002028,1.1661169547131522,0.9659158250606312,1.0083619313115262,1.0945972889902553,62.10524430578789,62.10524430578789,62.899052512064,2.1271996415665018,2.1271996415665018,2.191187761338924,84.0998895350492,84.0998895350492,84.5943869296388,2.4616353035958602,2.4695252107098464,2.576409269352975
40.0,95.87288284301758,-1.7389282254650398,1.8592103000603877,1.9471743254427611,1.0340237999629704,1.073848472252121,1.1661151192061345,0.9659166334295548,1.0083615767224376,1.0945951695752296,82.46407280839955,82.46407280839955,83.29333908380418,2.531189144245866,2.531189144245866,2.5978275065531182,104.27966312685021,104.27966312685021,104.71288376712747,2.9398526104322973,2.9462400705124194,3.0569924297241866
50.0,105.87288284301758,-1.7212041928473993,1.8419246695991764,1.9321052969125467,1.034026185368797,1.0738518199251308,1.1661185794713695,0.9659190188353812,1.0083649340531642,1.0945988691107609,102.69064771297069,102.69064771297069,103.57087761480801,2.933419807966377,2.933419807966377,3.006393958517834,124.32522393077171,124.32522393077171,124.74273786532902,3.4169976561862154,3.422009050902382,3.5442685783870727
60.0,115.87288284301758,-1.703202862009893,1.8244528892995973,1.9173803219048864,1.0340238006213318,1.0738498024769672,1.1661184671009732,0.9659166340879161,1.0083628442424948,1.0945984074780077,122.7619083259299,122.7619083259299,123.69208343266432,3.333654126784905,3.333654126784905,3.415418639625773,144.21254810102909,144.21254810102909,144.6347074948357,3.8931545908863088,3.897175757815478,4.036528898895396
